target,real_target,js,jv,time,action
[-0.14834176 -0.12225942  0.0384943   0.9463232 ],[-0.14538594 -0.12217291  0.03342297  0.96516705],[-0.14538594 -0.12217291  0.03351032  0.96516705],[0. 0. 0. 0.],1727361615.235558,[ 4.78764682e+00 -4.16524340e-02 -2.27246612e+00 -4.45498597e+01]
[-0.14850654 -0.12240468  0.03568108  0.9463398 ],[-0.14538594 -0.12217291  0.03333562  0.96516705],[-0.14541988 -0.12205334  0.03357644  0.96516705],[-0.00067898  0.00239142  0.00132246  0.        ],1727361615.2370903,[  6.50259211   0.5017281   -0.43399763 -24.84407536]
[-0.1484159  -0.12226512  0.03463078  0.9463654 ],[-0.14538594 -0.12217291  0.03333562  0.96516705],[-0.14545363 -0.12213014  0.03364261  0.96516705],[-0.00067491 -0.00153586  0.00132332  0.        ],1727361615.2385774,[  6.14216872   0.14715037  -0.20614322 -24.80582314]
[-0.14834712 -0.12213405  0.03388149  0.9463924 ],[-0.14538594 -0.12217291  0.03333562  0.96516705],[-0.14548743 -0.12220693  0.03370878  0.96516705],[-0.00067592 -0.0015358   0.00132341  0.        ],1727361615.2401185,[  5.93642119  -0.12598744  -0.02977726 -24.76954803]
[-0.14837483 -0.12241445  0.03431396  0.946431  ],[-0.14538594 -0.12226027  0.03342297  0.96516705],[-0.14552125 -0.12208735  0.03377495  0.96516705],[-0.00067647  0.00239146  0.00132347  0.        ],1727361615.2416081,[  5.96154581   0.48911965  -0.12227457 -24.71303562]
[-0.14822918 -0.12230927  0.03479351  0.94634295],[-0.14538594 -0.12234762  0.03351032  0.96516705],[-0.14555507 -0.12216415  0.03384112  0.96516705],[-0.00067642 -0.00153586  0.00132344  0.        ],1727361615.2431014,[  5.51823267   0.16546373  -0.21369286 -24.89011911]
[-0.14808191 -0.12202604  0.03359677  0.9452714 ],[-0.14538594 -0.12234762  0.03351032  0.9642944 ],[-0.14558895 -0.12224094  0.0339073   0.96516705],[-0.00067751 -0.00153581  0.00132341  0.        ],1727361615.244638,[  5.13902554  -0.3352832    0.08104716 -26.77663175]
[-0.14790633 -0.12196884  0.03465619  0.9441998 ],[-0.14538594 -0.12234762  0.03351032  0.96342176],[-0.14562286 -0.12212136  0.0338535   0.96516705],[-0.00067837  0.00239152 -0.00107588  0.        ],1727361615.2460947,[  4.68999933  -0.19239243  -0.18781179 -28.19115383]
[-0.1479202  -0.12192369  0.03339446  0.944148  ],[-0.14538594 -0.12234762  0.03351032  0.96342176],[-0.14565683 -0.12200179  0.03391967  0.96516705],[-0.00067929  0.00239146  0.00132342  0.        ],1727361615.2475681,[  4.72254431  -0.0924372    0.12893197 -27.76999411]
[-0.14781402 -0.12188862  0.03491272  0.9441499 ],[-0.14538594 -0.12234762  0.03351032  0.96342176],[-0.14569079 -0.12188222  0.03386588  0.96516705],[-0.00067925  0.0023914  -0.00107588  0.        ],1727361615.2490087,[ 4.38238034e+00  2.05659438e-02 -2.46152260e-01 -2.77417475e+01]
[-0.14769143 -0.12177634  0.03506434  0.94299746],[-0.14538594 -0.12243484  0.03359754  0.96254909],[-0.14572479 -0.12195901  0.03393205  0.96516705],[-0.0006799  -0.00153579  0.0013234   0.        ],1727361615.2504475,[  4.04865272  -0.26822433  -0.24996431 -29.81696131]
[-0.14774683 -0.12176421  0.03448568  0.9417065 ],[-0.14538594 -0.12252206  0.03368476  0.96167642],[-0.14575881 -0.12183944  0.03399822  0.96516705],[-0.00068049  0.00239144  0.0013234   0.        ],1727361615.2518964,[  4.16336339  -0.08389612  -0.100742   -31.58757697]
[-0.14779812 -0.12135452  0.03309512  0.9393302 ],[-0.14547322 -0.12243477  0.03368476  0.95993111],[-0.14579283 -0.12171987  0.03406439  0.96516705],[-0.00068032  0.00239136  0.00132346  0.        ],1727361615.2533267,[  4.19787821  -0.52384779   0.22792445 -35.24520229]
[-0.14761007 -0.12072688  0.03377565  0.936744  ],[-0.1455605  -0.12234748  0.03368476  0.95818579],[-0.14582684 -0.12160029  0.0340106   0.96516705],[-0.00068028  0.00239146 -0.00107589  0.        ],1727361615.254779,[  3.63954267  -1.22574606   0.04428728 -38.75982377]
[-0.14725168 -0.12015648  0.03414961  0.933015  ],[-0.1455605  -0.12226027  0.03368489  0.95556778],[-0.1458609  -0.12148071  0.0339568   0.96516705],[-0.0006812   0.00239167 -0.0010759   0.        ],1727361615.2562194,[  2.75225281  -1.81260562  -0.04672839 -44.23064895]
[-0.14703973 -0.11945271  0.03131942  0.928952  ],[-0.1455605  -0.12217305  0.03368502  0.95294976],[-0.14589502 -0.12136112  0.03402298  0.96516705],[-0.00068245  0.00239187  0.00132347  0.        ],1727361615.2576628,[  2.29558474  -2.60285409   0.62397691 -49.75411071]
[-0.14669411 -0.11836459  0.0311551   0.92276067],[-0.14564772 -0.12191126  0.03368489  0.94858643],[-0.14592917 -0.12124151  0.03396918  0.96516705],[-0.00068302  0.00239219 -0.00107583  0.        ],1727361615.2591214,[  1.44924624  -3.93637      0.62021175 -58.94826707]
[-0.14629467 -0.11731495  0.02930766  0.91618353],[-0.14573494 -0.12164947  0.03368476  0.94422311],[-0.14596337 -0.12112186  0.03391539  0.96516705],[-0.00068391  0.00239292 -0.00107582  0.        ],1727361615.2606525,[  0.52174422  -5.15845652   1.03178109 -67.81526736]
[-0.14520954 -0.11640073  0.0301528   0.90842927],[-0.14582222 -0.12156218  0.03368476  0.93898714],[-0.14599761 -0.12100217  0.03386161  0.96328783],[-0.00068473  0.0023938  -0.00107576 -0.0375843 ],1727361615.2621639,[ -2.08764358  -6.18780457   0.80687535 -75.23332911]
[-0.14141244 -0.11528586  0.04116039  0.9011021 ],[-0.1459095  -0.1214749   0.03368476  0.93375117],[-0.14583587 -0.12088244  0.03380782  0.94956005],[ 0.00323467  0.00239475 -0.00107578 -0.27455551],1727361615.2636695,[-10.67586141  -7.53014623  -1.7290646  -60.8921263 ]
[-0.15093358 -0.11402241  0.0028684   0.89289856],[-0.14617129 -0.12112589  0.0334231   0.92327917],[-0.14568551 -0.12076262  0.03387395  0.94956005],[0.00300719 0.00239637 0.00132277 0.        ],1727361615.265186,[ 14.77516737  -9.06102775   7.20787256 -78.73085434]
[-0.14173527 -0.11384355  0.03403285  0.87693787],[-0.14643309 -0.12077688  0.03316145  0.91280717],[-0.14571593 -0.12064267  0.0338203   0.92906038],[-0.00060832  0.00239892 -0.00107317 -0.40999345],1727361615.2666924,[-11.95201749  -8.98329287  -0.3614411  -66.62300749]
[-0.15526167 -0.11104734 -0.00397191  0.8735547 ],[-0.14660766 -0.12016596  0.0334231   0.90320787],[-0.14556898 -0.12052273  0.03388646  0.92887011],[ 0.00293891  0.00239874  0.00132336 -0.00380549],1727361615.2682295,[ 25.63951249 -12.89119031   8.71259775 -74.5489122 ]
[-0.14570077 -0.10975634  0.0213056   0.85864145],[-0.14678223 -0.11955503  0.03368476  0.89360857],[-0.14557744 -0.1204022   0.03383289  0.91513882],[-1.69027513e-04  2.41068731e-03 -1.07150296e-03 -2.74625734e-01],1727361615.2697248,[ -3.50870528 -14.22033857   2.50066548 -75.14390725]
