target,real_target,js,jv,time,action
[-0.02623772 -0.46030304  0.63804746  0.4042174 ],[-0.02748892 -0.4573635   0.60353476  0.43284163],[-0.02740164 -0.45745078  0.60353476  0.43284163],[0. 0. 0. 0.],1727361548.3549705,[ -4.33233072   5.16879764  -8.82689011 -37.16514746]
[-0.02641979 -0.46002308  0.6366989   0.40431547],[-0.02757621 -0.45727623  0.60353476  0.43284163],[-0.02725459 -0.45753235  0.60360906  0.43284163],[ 0.00294091 -0.00163144  0.00148606  0.        ],1727361548.3565433,[ -1.61519103   3.23593357  -7.26542522 -37.60744252]
[-0.02660588 -0.459978    0.63640994  0.40444905],[-0.02748892 -0.4573635   0.60362214  0.43284163],[-0.02710575 -0.45761388  0.60368359  0.43284163],[ 0.0029768  -0.0016306   0.00149054  0.        ],1727361548.358059,[ -0.9128992    3.10253007  -7.19612885 -37.41410171]
[-0.0268327  -0.4599029   0.6347397   0.40458775],[-0.02740164 -0.45745078  0.60370952  0.43284163],[-0.02695657 -0.45769541  0.60375813  0.43284163],[ 0.00298362 -0.00163061  0.00149074  0.        ],1727361548.359531,[ -0.11090623   2.89144445  -6.79835613 -37.22851707]
[-0.02742964 -0.45959482  0.62780654  0.40469232],[-0.02740164 -0.45736356  0.60353494  0.43284163],[-0.02680704 -0.45777694  0.60383271  0.43284163],[ 0.00299055 -0.00163059  0.00149165  0.        ],1727361548.3610046,[  1.59503514   2.34374414  -5.20361022 -37.106927  ]
[-0.02799437 -0.45923802  0.6222245   0.4047874 ],[-0.02740164 -0.45727634  0.60336035  0.43284163],[-0.0268386  -0.45785846  0.60390743  0.43284163],[-0.00063109 -0.00163048  0.0014944   0.        ],1727361548.3625152,[  2.6254274    1.75818334  -3.97273728 -36.98594929]
[-0.02774343 -0.45906693  0.62157184  0.40414876],[-0.02731442 -0.45736356  0.60344771  0.43196899],[-0.0268701  -0.45793998  0.60398222  0.43284163],[-0.00063006 -0.00163038  0.00149591  0.        ],1727361548.3639755,[  1.71409525   1.45137731  -3.86238262 -38.18111575]
[-0.0274749  -0.45887235  0.61930466  0.40334502],[-0.0272272  -0.45745078  0.60353506  0.43109635],[-0.02690165 -0.4580215   0.60405703  0.43284163],[-0.000631   -0.00163036  0.00149607  0.        ],1727361548.3654392,[  1.07996377   1.08350401  -3.33086443 -39.3213435 ]
[-0.02749738 -0.45849732  0.6133676   0.40252432],[-0.0272272  -0.4573635   0.60344777  0.43022367],[-0.02693323 -0.45810302  0.60413186  0.43284163],[-0.00063156 -0.00163034  0.0014966   0.        ],1727361548.367001,[  1.17548894   0.45500128  -1.97127042 -40.4128081 ]
[-0.02751385 -0.45813772  0.60696226  0.40157595],[-0.0272272  -0.45727623  0.60336047  0.429351  ],[-0.0269648  -0.45818453  0.60420674  0.43284163],[-0.0006315  -0.00163027  0.00149764  0.        ],1727361548.368457,[  1.14157042  -0.12504885  -0.54090131 -41.72590551]
[-0.02756065 -0.4582864   0.59904504  0.39914805],[-0.0272272  -0.4573635   0.60327306  0.426733  ],[-0.02699638 -0.45805214  0.60428166  0.43284163],[-0.00063154  0.00264791  0.00149843  0.        ],1727361548.3699098,[  1.18531413   0.34955594   1.23262024 -45.6409498 ]
[-0.0271687  -0.4581972   0.59288955  0.39644122],[-0.0272272  -0.45745078  0.60318565  0.424115  ],[-0.02702796 -0.45813365  0.60421791  0.43284163],[-0.00063151 -0.00163022 -0.00127505  0.        ],1727361548.371386,[  0.12745325   0.05945546   2.55364586 -49.34781719]
[-0.02684595 -0.45808062  0.5851841   0.39238214],[-0.02731442 -0.45745078  0.60301107  0.41975167],[-0.02705957 -0.45821516  0.60415417  0.43284163],[-0.0006323  -0.00163023 -0.00127471  0.        ],1727361548.3728454,[ -0.58594244  -0.20601232   4.25044741 -55.35491321]
[-0.02619118 -0.45810935  0.57859415  0.38773134],[-0.02740164 -0.45745078  0.60283649  0.41538835],[-0.02691024 -0.45808276  0.60409047  0.43284163],[ 0.00298658  0.00264799 -0.00127406  0.        ],1727361548.3743076,[-1.70178953e+00  5.82290927e-02  5.67497680e+00 -6.17779727e+01]
[-0.02413643 -0.45744583  0.5839148   0.379148  ],[-0.02748892 -0.45683992  0.60318562  0.40840703],[-0.02676148 -0.45816427  0.60402681  0.43284163],[ 0.00297523 -0.00163019 -0.00127323  0.        ],1727361548.3758686,[ -6.2365479   -1.05514017   4.37036356 -74.99557473]
[-0.02000076 -0.45476368  0.60237896  0.36314508],[-0.02757621 -0.45622906  0.60353476  0.40142572],[-0.02661631 -0.45803186  0.60396311  0.41905974],[ 0.00290347  0.00264821 -0.00127394 -0.27563775],1727361548.3774488,[-15.39715533  -4.67951993   0.16174802 -74.87345277]
