target,real_target,js,jv,time,action
[-0.16683783  0.10736763  0.10693569  0.41741073],[-0.16467182  0.11981688  0.11780976  0.44156829],[-0.16458453  0.1197296   0.11780976  0.44156829],[0. 0. 0. 0.],1727361723.8200154,[  3.39184583  27.85179163   0.91566442 -36.88764803]
[-0.16689916  0.10750178  0.10933588  0.41743234],[-0.1647591   0.11990417  0.11780976  0.44156829],[-0.16461911  0.11961721  0.11775522  0.44156829],[-0.0006915  -0.00224783 -0.00109081  0.        ],1727361723.8216152,[  4.77585717  15.95702768   1.82751093 -31.84905675]
[-0.16678637  0.10756388  0.11151754  0.41747263],[-0.1647591   0.11990417  0.11780976  0.44156829],[-0.16465356  0.11953675  0.11770069  0.44156829],[-0.00068914 -0.00160921 -0.00109064  0.        ],1727361723.8231392,[  4.3996063   15.78373883   1.33775082 -31.78690287]
[-0.1666345   0.10761302  0.11390982  0.4175169 ],[-0.1647591   0.11990417  0.11780976  0.44156829],[-0.16468806  0.11945636  0.11764615  0.44156829],[-0.00068988 -0.00160773 -0.00109072  0.        ],1727361723.824824,[  3.99468946  15.61464196   0.79733018 -31.72660707]
[-0.16648942  0.10757285  0.11808712  0.41759825],[-0.1647591   0.11981695  0.11789697  0.44156829],[-0.16472259  0.11937604  0.11759161  0.44156829],[-0.00069061 -0.00160636 -0.00109079  0.        ],1727361723.8263626,[  3.62199397  15.57445205  -0.15166959 -31.6013915 ]
[-0.16654807  0.10756329  0.11804908  0.4176399 ],[-0.1647591   0.11972973  0.11798419  0.44156829],[-0.16475715  0.11929574  0.11765809  0.44156829],[-0.00069123 -0.00160602  0.0013297   0.        ],1727361723.8278668,[  3.75252703  15.47669943  -0.08496229 -31.56542198]
[-0.16676566  0.10773062  0.11687967  0.41767853],[-0.16484638  0.11981701  0.11798419  0.44156829],[-0.1647917   0.11921548  0.11772458  0.44156829],[-0.00069104 -0.00160524  0.00132973  0.        ],1727361723.8294497,[  4.1976138   15.12452677   0.19833871 -31.51592781]
[-0.1667051   0.10791334  0.11931308  0.41763964],[-0.16493367  0.1199043   0.11798419  0.44156829],[-0.16482622  0.11913535  0.11767004  0.44156829],[-0.00069032 -0.00160267 -0.00109089  0.        ],1727361723.8310943,[  3.88946161  14.7753692   -0.38654773 -31.60449   ]
[-0.16636342  0.10800775  0.11710824  0.4165607 ],[-0.16484638  0.11990424  0.11798419  0.44069563],[-0.16486076  0.11905533  0.11773652  0.44156829],[-0.00069086 -0.00160033  0.00132963  0.        ],1727361723.832598,[  2.99248224  14.5577971    0.16111495 -33.52787985]
[-0.16589312  0.10807285  0.11794966  0.41531938],[-0.1647591   0.11990417  0.11798419  0.43982297],[-0.16489537  0.11897538  0.11768197  0.44156829],[-0.00069221 -0.00159896 -0.0010909   0.        ],1727361723.8341959,[  1.88655622  14.37054894  -0.06792231 -35.24441325]
