target,real_target,js,jv,time,action
[-0.16690625 -0.11558064  0.37953985  0.89908594],[-0.16755156 -0.11772251  0.36809005  0.92502451],[-0.16755156 -0.11780973  0.36826462  0.92502451],[0. 0. 0. 0.],1727361765.4383988,[  1.26918716  -2.80974524  -3.44504432 -35.4952998 ]
[-0.16705027 -0.11559241  0.37460104  0.8990829 ],[-0.16755156 -0.11763529  0.36791548  0.92502451],[-0.16758634 -0.11769015  0.36833388  0.92502451],[-0.00069561  0.00239149  0.00138526  0.        ],1727361765.4399407,[ -1.07737884  -2.7501854   -1.32829207 -34.24439234]
[-0.1668223  -0.11568519  0.37313777  0.8991038 ],[-0.16746434 -0.11763515  0.36791548  0.92502451],[-0.16742106 -0.11757058  0.36840321  0.92502451],[0.00330571 0.00239144 0.00138664 0.        ],1727361765.4414067,[ -1.2760692   -2.45826901  -1.02615566 -34.20527655]
[-0.16702984 -0.11579598  0.37142727  0.89902705],[-0.16737711 -0.11763502  0.36791548  0.92502451],[-0.1672559  -0.11745102  0.36847255  0.92502451],[0.00330305 0.00239127 0.0013868  0.        ],1727361765.4428627,[ -0.32577151  -2.1516127   -0.63209628 -34.35345074]
[-0.16741955 -0.11594839  0.3693878   0.8979495 ],[-0.16737711 -0.11763502  0.36791548  0.92415187],[-0.16709028 -0.11733146  0.3685419   0.92502451],[0.00331248 0.0023911  0.00138699 0.        ],1727361765.4443626,[  0.90675049  -1.78667077  -0.16484181 -36.25618513]
[-0.16787109 -0.11610772  0.3670744   0.8968245 ],[-0.16737711 -0.11763502  0.36791548  0.92327923],[-0.16712506 -0.11721192  0.36861126  0.92502451],[-0.00069568  0.00239092  0.0013872   0.        ],1727361765.4458463,[  1.72320751  -1.41754703   0.36212932 -37.76410366]
[-0.16786627 -0.11620305  0.36791724  0.896776  ],[-0.16737711 -0.11763502  0.36791548  0.92327923],[-0.16715981 -0.11709238  0.36855286  0.92502451],[-0.00069494  0.00239075 -0.00116809  0.        ],1727361765.4473112,[  1.46095338  -1.1431114    0.13074775 -37.31124663]
[-0.1678513  -0.11626903  0.36879396  0.8966824 ],[-0.16737711 -0.11763502  0.36791548  0.92327923],[-0.16719457 -0.11697285  0.36849445  0.92502451],[-0.00069522  0.00239062 -0.00116809  0.        ],1727361765.4488437,[  1.35298873  -0.90243687  -0.07531565 -37.45662742]
[-0.1680738  -0.1162077   0.36646774  0.8955272 ],[-0.16746434 -0.1175478   0.36791548  0.92240652],[-0.16722934 -0.11685332  0.36856381  0.92502451],[-0.00069534  0.00239052  0.00138721  0.        ],1727361765.4503415,[  1.83883315  -0.84388835   0.48527903 -39.49093266]
[-0.16810052 -0.11606745  0.367193    0.8942814 ],[-0.16755156 -0.11746059  0.36791548  0.92153382],[-0.16726408 -0.1167338   0.36850541  0.92502451],[-0.00069488  0.00239047 -0.00116805  0.        ],1727361765.4518166,[  1.74501595  -0.88255078   0.28082475 -41.17893415]
