target,real_target,js,jv,time,action
[-0.24240577  0.22536068  0.0298061   1.54579   ],[-0.23841201  0.23404859  0.00383978  1.56032443],[-0.23841201  0.23404859  0.00383978  1.56032443],[0. 0. 0. 0.],1727361599.3875582,[  8.06695683  11.98987052  -6.07369512 -18.27043899]
[-0.242443    0.22547849  0.02932354  1.5458456 ],[-0.23841201  0.23404859  0.00383978  1.56032443],[-0.23844815  0.23396687  0.00390569  1.56032443],[-0.00072291 -0.00163448  0.00131821  0.        ],1727361599.3891225,[  8.34963592  11.17605076  -5.58639878 -19.08529918]
[-0.24245061  0.22559434  0.02915322  1.5459621 ],[-0.23841201  0.23404859  0.00383978  1.56032443],[-0.23848424  0.23388526  0.00397163  1.56032443],[-0.00072166 -0.00163205  0.0013189   0.        ],1727361599.390623,[  8.27851586  10.91571778  -5.53756717 -18.90237662]
[-0.24242677  0.22575869  0.02870597  1.546089  ],[-0.23841201  0.23404859  0.00383978  1.56032443],[-0.23852034  0.2338037   0.00403758  1.56032443],[-0.00072201 -0.00163134  0.00131897  0.        ],1727361599.392122,[  8.14085484  10.58415169  -5.42187336 -18.72975971]
[-0.24240348  0.22592244  0.02962478  1.5462415 ],[-0.23841201  0.23404859  0.00392713  1.56032443],[-0.23855647  0.23372217  0.00410354  1.56032443],[-0.00072265 -0.00163051  0.00131912  0.        ],1727361599.393645,[  8.01686702  10.26050582  -5.62327093 -18.51625582]
[-0.24242236  0.22613187  0.02984869  1.5463426 ],[-0.23841201  0.23404859  0.00401448  1.56032443],[-0.23859263  0.23364068  0.00416948  1.56032443],[-0.00072322 -0.00162976  0.00131885  0.        ],1727361599.3951194,[  7.99733652   9.8699184   -5.65101915 -18.40747742]
[-0.24246576  0.22632879  0.02861269  1.5454111 ],[-0.23841201  0.23404859  0.00401448  1.55945176],[-0.2386288   0.23355924  0.00423542  1.56032443],[-0.00072332 -0.00162894  0.00131882  0.        ],1727361599.3967116,[  8.0220986    9.50428452  -5.34987458 -20.1327033 ]
[-0.24246676  0.22657877  0.02703614  1.5443063 ],[-0.23841201  0.23404859  0.00401448  1.55857909],[-0.23866496  0.23347782  0.00430138  1.56032443],[-0.00072324 -0.00162823  0.00131921  0.        ],1727361599.3982368,[  7.93191753   9.05922885  -4.98509066 -21.67427893]
[-0.24240401  0.22681639  0.02590105  1.542124  ],[-0.23841201  0.23404859  0.00401448  1.55683368],[-0.23870114  0.23339645  0.00436736  1.56032443],[-0.00072365 -0.00162746  0.00131965  0.        ],1727361599.399694,[  7.70007385   8.6399463   -4.72530401 -25.07200178]
[-0.24236858  0.22711581  0.02353455  1.5395511 ],[-0.23841201  0.23404859  0.00401448  1.55508828],[-0.23873737  0.23331511  0.00443336  1.56032443],[-0.00072463 -0.0016268   0.00131994  0.        ],1727361599.4012058,[  7.56102565   8.12848212  -4.17774095 -28.65573409]
[-0.242206    0.22744898  0.01892897  1.5337884 ],[-0.23841201  0.23404859  0.00383991  1.55072498],[-0.23877363  0.23323381  0.00449939  1.56032443],[-0.0007252  -0.00162609  0.0013205   0.        ],1727361599.4026945,[  7.09540492   7.57652624  -3.1274193  -37.79360124]
[-0.24199095  0.2279245   0.01313903  1.527341  ],[-0.23841201  0.23404859  0.00366534  1.54636168],[-0.23880998  0.23315254  0.00456546  1.56032443],[-0.00072694 -0.00162541  0.00132137  0.        ],1727361599.4041598,[  6.54929131   6.82119903  -1.82715779 -46.63288169]
[-0.24175915  0.22903983  0.0077649   1.5166496 ],[-0.2386738   0.23439772  0.00340342  1.5385077 ],[-0.23884642  0.2330713   0.00463156  1.56032443],[-0.00072878 -0.00162464  0.00132217  0.        ],1727361599.4059787,[  5.98202626   5.14998751  -0.63449527 -62.78264514]
[-0.24130693  0.23054442  0.00152838  1.5047427 ],[-0.23893559  0.23474686  0.0031415   1.53065372],[-0.23888294  0.23299013  0.0046977   1.56032443],[-0.00073046 -0.00162339  0.00132271  0.        ],1727361599.4078467,[  4.87375772   3.00100981   0.76078191 -79.08312889]
[-0.23367867  0.23580076  0.03387358  1.4815999 ],[-0.23937188  0.23535759  0.00314163  1.51581842],[-0.2389196   0.23290902  0.00464409  1.53988706],[-0.0007332  -0.00162238 -0.0010722  -0.40874735],1727361599.409592,[-13.97046719  -4.5822697   -6.75706854 -78.23763827]
[-0.23925915  0.24273334  0.01980323  1.4684827 ],[-0.23980817  0.23596832  0.00314176  1.50098312],[-0.23876724  0.23303094  0.00470994  1.52114023],[ 0.00304715  0.00243854  0.00131708 -0.37493657],1727361599.4112146,[  3.28455792 -13.78354804  -3.17803047 -66.80567384]
[-0.24564238  0.24089947 -0.03535736  1.4507296 ],[-0.23998275  0.23684104  0.00314176  1.48003918],[-0.23880405  0.23315399  0.00477601  1.52101036],[-0.00073603  0.00246099  0.00132133 -0.00259751],1727361599.4127288,[  16.79006586   -9.94349116    9.38602655 -101.22975227]
[-0.23057404  0.24688472  0.05676831  1.411373  ],[-0.24015732  0.23771375  0.00314176  1.45909524],[-0.2388345   0.23327631  0.00472266  1.47101036],[-6.09177950e-04  2.44639394e-03 -1.06692476e-03 -1.00000000e+00],1727361599.4143274,[-23.20724591 -18.80360848 -12.37920669 -73.61244658]
[-0.25117633  0.25701785 -0.02287842  1.4088551 ],[-0.2405064   0.23876098  0.00314176  1.43727863],[-0.23877304  0.23340193  0.00478741  1.459027  ],[ 0.00122923  0.00251235  0.00129484 -0.23966716],1727361599.4159696,[ 34.05611786 -32.60770375   6.88997355 -61.68355518]
[-0.24933118  0.24965467 -0.07413915  1.3864236 ],[-0.24085547  0.2398082   0.00314176  1.41546202],[-0.23902452  0.23360118  0.00473391  1.459027  ],[-0.00502955  0.00398498 -0.00106986  0.        ],1727361599.4174678,[  20.71568585  -20.10645748   17.86824319 -106.60362386]
[-0.23449059  0.25653908  0.0662118   1.3410414 ],[-0.24146633  0.24068085  0.0033162   1.39015472],[-0.23904589  0.23372807  0.0046835   1.409027  ],[-4.27390465e-04  2.53777550e-03 -1.00833283e-03 -1.00000000e+00],1727361599.4190385,[-15.37023818 -31.0792698  -14.95147331 -87.52437928]
[-0.2497726   0.26652864  0.02305791  1.3282616 ],[-0.24207719  0.2415535   0.00349064  1.36484742],[-0.23890038  0.23390545  0.0047469   1.37334058],[ 0.00291014  0.00354756  0.00126815 -0.71372838],1727361599.4205394,[ 28.79521884 -44.46927826  -3.59279058 -48.50907714]
[-0.26063064  0.25851798 -0.07040757  1.318291  ],[-0.24260077  0.24251344  0.00349064  1.34041286],[-0.23895534  0.2350253   0.00481295  1.37334058],[-0.00109909  0.02239703  0.00132101  0.        ],1727361599.4220717,[ 49.55350251 -29.70140805  17.49131233 -77.45143881]
[-0.24447091  0.26249257 -0.02736283  1.2824486 ],[-0.24312435  0.24347338  0.00349064  1.31597829],[-0.24528602  0.23518834  0.00476221  1.35626939],[-0.12661373  0.00326076 -0.00101488 -0.34142388],1727361599.423541,[ -10.55580285  -36.5880312     6.63310694 -106.45350364]
[-0.2315255   0.2694668   0.05659271  1.241871  ],[-0.24356071  0.2443461   0.00357786  1.28979832],[-0.245121    0.23549386  0.00470871  1.30626939],[ 0.00330046  0.00611045 -0.00107006 -1.        ],1727361599.425121,[-33.44498657 -45.80029185 -12.26129055 -80.48314003]
[-0.24688342  0.2679486  -0.01885419  1.233027  ],[-0.24399707  0.24521881  0.00366507  1.26361835],[-0.24471733  0.23693781  0.00477349  1.28411348],[ 0.00807339  0.02887895  0.00129569 -0.44311816],1727361599.4266195,[ 10.7308922  -40.50957406   5.95924713 -61.04448811]
[-0.24711575  0.26800495 -0.09340069  1.2105095 ],[-0.24460793  0.24626604  0.00366507  1.23656577],[-0.24475289  0.23748815  0.00471997  1.28411348],[-0.00071121  0.01100684 -0.00107052  0.        ],1727361599.4280963,[   5.01581556  -40.21138496   22.33743359 -107.96553113]
[-0.22735116  0.27003038  0.04994514  1.1581354 ],[-0.24521878  0.24731326  0.00366507  1.20951319],[-0.24478973  0.23801192  0.00467779  1.23411348],[-7.36750952e-04  1.04754714e-02 -8.43522778e-04 -1.00000000e+00],1727361599.4296162,[ -44.24041863  -42.47961841  -11.40416882 -101.43064179]
