target,real_target,js,jv,time,action
[-0.20140189  0.21346253 -0.07219747  1.4636292 ],[-0.19661137  0.22209319 -0.09040816  1.47829378],[-0.19652408  0.2220059  -0.09040816  1.47829378],[0. 0. 0. 0.],1727361811.2801383,[ 11.66533188  11.05175297  -5.51738399 -29.5481289 ]
[-0.20151335  0.2136332  -0.07224531  1.4636238 ],[-0.19669865  0.22218047 -0.09040816  1.47829378],[-0.1965578   0.22192462 -0.09034197  1.47829378],[-0.00067437 -0.00162576  0.00132373  0.        ],1727361811.281657,[ 10.38769962  10.90856094  -3.98011807 -19.36704486]
[-0.20122804  0.21358198 -0.0712918   1.4636295 ],[-0.19661137  0.22209319 -0.09032081  1.47829378],[-0.19659203  0.22184335 -0.0902757   1.47829378],[-0.00068465 -0.00162536  0.00132542  0.        ],1727361811.28313,[  9.56349334  10.90070281  -4.1854007  -19.35412631]
[-0.20097318  0.21353848 -0.0710467   1.4636142 ],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.19662653  0.22176208 -0.09020944  1.47829378],[-0.00068992 -0.0016253   0.00132522  0.        ],1727361811.2846496,[  8.97061047  10.84973353  -4.21760521 -19.38432805]
[-0.20093799  0.21363257 -0.07211567  1.4635969 ],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.19666119  0.22168083 -0.09014318  1.47829378],[-0.00069317 -0.00162514  0.00132518  0.        ],1727361811.2860813,[  8.91102313  10.59856264  -3.95461016 -19.40812343]
[-0.20085661  0.2137569  -0.07277137  1.463514  ],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.19669586  0.2215996  -0.09007691  1.47829378],[-0.00069349 -0.00162451  0.00132542  0.        ],1727361811.2875016,[  8.65031324  10.32290148  -3.79994095 -19.54917054]
[-0.2006671   0.21387608 -0.07296772  1.4624532 ],[-0.19652408  0.2220059  -0.09023346  1.47742116],[-0.1967306   0.22151841 -0.09001064  1.47829378],[-0.00069479 -0.00162386  0.00132555  0.        ],1727361811.2889283,[  8.13901907  10.05915453  -3.74679252 -21.41864466]
[-0.20046714  0.21401371 -0.07363416  1.4613682 ],[-0.19652408  0.2220059  -0.09023346  1.47654855],[-0.19676546  0.22143724 -0.08994436  1.47829378],[-0.00069712 -0.00162328  0.00132558  0.        ],1727361811.2905252,[  7.64408288   9.7676831   -3.58085812 -22.86257886]
[-0.20041238  0.21401207 -0.0741658   1.4613304 ],[-0.19652408  0.22191869 -0.09023359  1.47654855],[-0.19680042  0.22135611 -0.08987807  1.47829378],[-0.00069913 -0.00162268  0.00132572  0.        ],1727361811.2922423,[  7.51369735   9.68273551  -3.45067219 -22.40977823]
[-0.2003992   0.21403125 -0.07473789  1.4612721 ],[-0.19652408  0.22183147 -0.09023373  1.47654855],[-0.1968354   0.22127498 -0.08981178  1.47829378],[-0.00069964 -0.00162249  0.00132581  0.        ],1727361811.2940328,[  7.42938579   9.54735077  -3.30982048 -22.49655518]
[-0.2003409   0.21417534 -0.0755555   1.460156  ],[-0.19652408  0.22183147 -0.09023373  1.47567588],[-0.1968704   0.22119387 -0.08974548  1.47829378],[-0.00069997 -0.00162221  0.00132591  0.        ],1727361811.2956114,[  7.21665287   9.23217268  -3.11288796 -24.47767889]
[-0.20024443  0.21437842 -0.07657922  1.458853  ],[-0.19652408  0.22183147 -0.09023373  1.47480321],[-0.19690543  0.22111279 -0.08967918  1.47829378],[-0.00070075 -0.00162164  0.00132605  0.        ],1727361811.2970583,[  6.92674329   8.84865295  -2.87100381 -26.2872312 ]
[-0.20016803  0.2147103  -0.07660541  1.456529  ],[-0.19661137  0.22191875 -0.09023373  1.47305793],[-0.19694052  0.22103174 -0.08961287  1.47829378],[-0.00070175 -0.00162101  0.00132622  0.        ],1727361811.2985513,[  6.70160332   8.28510031  -2.86070806 -29.84499418]
[-0.20003507  0.2150851  -0.07674333  1.453919  ],[-0.19669865  0.22200604 -0.09023373  1.47131264],[-0.19697565  0.22095073 -0.08954656  1.47829378],[-0.00070249 -0.0016202   0.00132622  0.        ],1727361811.299985,[  6.32800554   7.6772815   -2.81465118 -33.42741697]
[-0.19964626  0.21521837 -0.07692669  1.4492885 ],[-0.19669865  0.22191869 -0.09023359  1.46782196],[-0.19701083  0.22086976 -0.08948025  1.47829378],[-0.00070363 -0.00161944  0.00132624  0.        ],1727361811.3014355,[  5.34118855   7.42912863  -2.75926466 -40.50965457]
[-0.19929358  0.21536209 -0.07892412  1.4444995 ],[-0.19669865  0.22183134 -0.09023346  1.46433127],[-0.19704614  0.2207888  -0.08941393  1.47829378],[-0.00070619 -0.00161914  0.00132627  0.        ],1727361811.3028507,[  4.54445448   7.13106459  -2.28695654 -46.9071798 ]
[-0.19924214  0.21561013 -0.08200385  1.440612  ],[-0.19678587  0.22183134 -0.09032081  1.46171325],[-0.19708153  0.22070786 -0.08934761  1.47829378],[-0.0007079  -0.0016188   0.00132656  0.        ],1727361811.3042889,[  4.48149051   6.68184728  -1.58391197 -51.60600486]
[-0.1991284   0.2159072  -0.08535454  1.4362015 ],[-0.1968731   0.22183134 -0.09040816  1.45909524],[-0.19711693  0.22062694 -0.08928126  1.47829378],[-0.00070804 -0.00161836  0.00132693  0.        ],1727361811.3057528,[  4.14525102   6.17587435  -0.82943521 -57.67891495]
