target,real_target,js,jv,time,action
[-0.02623772 -0.46030304  0.63804746  0.4042174 ],[-0.02748892 -0.4573635   0.60353476  0.43284163],[-0.02740164 -0.45745078  0.60353476  0.43284163],[0. 0. 0. 0.],1727361638.7811732,[ -4.06435258   4.68883116  -7.3480097  -46.98547738]
[-0.02641997 -0.46002316  0.63669413  0.40431535],[-0.02757621 -0.45727623  0.60353476  0.43284163],[-0.02725438 -0.45753234  0.60360927  0.43284163],[ 0.0029452  -0.00163118  0.0014903   0.        ],1727361638.7826874,[ -1.61422358   3.23607025  -7.26426838 -37.607682  ]
[-0.02660654 -0.45997813  0.6364043   0.404449  ],[-0.02748892 -0.4573635   0.60362214  0.43284163],[-0.02710554 -0.45761387  0.6036838   0.43284163],[ 0.00297681 -0.0016306   0.00149054  0.        ],1727361638.7842653,[ -0.91089074   3.10269208  -7.19483614 -37.4141787 ]
[-0.02683339 -0.45990303  0.63473356  0.40458772],[-0.02740164 -0.45745078  0.60370952  0.43284163],[-0.02695636 -0.4576954   0.60375834  0.43284163],[ 0.00298364 -0.00163061  0.00149074  0.        ],1727361638.785738,[ -0.10898826   2.89164175  -6.79695359 -37.22857106]
[-0.02743031 -0.4595949   0.6278011   0.4046923 ],[-0.02740164 -0.45736356  0.60353494  0.43284163],[-0.02680683 -0.45777693  0.60383292  0.43284163],[ 0.00299056 -0.00163059  0.00149165  0.        ],1727361638.787205,[  1.59688916   2.34389852  -5.20237717 -37.1069519 ]
[-0.02799505 -0.45923814  0.62221885  0.40478733],[-0.02740164 -0.45727634  0.60336035  0.43284163],[-0.02683838 -0.45785845  0.60390764  0.43284163],[-0.00063109 -0.00163048  0.00149441  0.        ],1727361638.7887206,[  2.62728927   1.75838063  -3.97144758 -36.98603476]
[-0.02774414 -0.459067    0.6215658   0.4041487 ],[-0.02731442 -0.45736356  0.60344771  0.43196899],[-0.02686988 -0.45793997  0.60398244  0.43284163],[-0.00063006 -0.00163038  0.00149591  0.        ],1727361638.7902246,[  1.71604471   1.45145392  -3.86100738 -38.1811881 ]
[-0.02747555 -0.45887247  0.6192988   0.40334496],[-0.0272272  -0.45745078  0.60353506  0.43109635],[-0.02690143 -0.45802149  0.60405724  0.43284163],[-0.000631   -0.00163036  0.00149607  0.        ],1727361638.7917216,[  1.08175676   1.08370891  -3.32954244 -39.32141587]
[-0.02749801 -0.45849743  0.6133628   0.40252426],[-0.0272272  -0.4573635   0.60344777  0.43022367],[-0.02693301 -0.458103    0.60413207  0.43284163],[-0.00063156 -0.00163034  0.00149661  0.        ],1727361638.793305,[  1.17727179   0.45519473  -1.97017104 -40.41283114]
[-0.02751451 -0.45813784  0.60695636  0.4015759 ],[-0.0272272  -0.45727623  0.60336047  0.429351  ],[-0.02696459 -0.45818452  0.60420695  0.43284163],[-0.0006315  -0.00163027  0.00149765  0.        ],1727361638.794816,[  1.14339158  -0.12485541  -0.53953369 -41.7259911 ]
[-0.02756128 -0.45828652  0.5990389   0.399148  ],[-0.0272272  -0.4573635   0.60327306  0.426733  ],[-0.02699616 -0.45805212  0.60428187  0.43284163],[-0.00063154  0.00264791  0.00149843  0.        ],1727361638.796277,[  1.18708807   0.34967168   1.23401821 -45.64097289]
[-0.02716938 -0.45819727  0.59288305  0.39644116],[-0.0272272  -0.45745078  0.60318565  0.424115  ],[-0.02702774 -0.45813363  0.60421812  0.43284163],[-0.00063151 -0.00163022 -0.00127505  0.        ],1727361638.7977867,[  0.12934096   0.05950059   2.55512554 -49.34790297]
[-0.02684662 -0.45808077  0.5851774   0.3923821 ],[-0.02731442 -0.45745078  0.60301107  0.41975167],[-0.02705935 -0.45821514  0.60415439  0.43284163],[-0.0006323  -0.00163023 -0.00127471  0.        ],1727361638.7992496,[ -0.58410456  -0.20572592   4.25196152 -55.35493638]
[-0.02619184 -0.45810947  0.57858765  0.38773128],[-0.02740164 -0.45745078  0.60283649  0.41538835],[-0.02691002 -0.45808275  0.60409068  0.43284163],[ 0.0029866   0.00264799 -0.00127406  0.        ],1727361638.8007069,[-1.69994837e+00  5.83372276e-02  5.67644373e+00 -6.17780588e+01]
[-0.0241371 -0.457446   0.5839078  0.379148 ],[-0.02748892 -0.45683992  0.60318562  0.40840703],[-0.02676126 -0.45816426  0.60402702  0.43284163],[ 0.00297525 -0.00163019 -0.00127323  0.        ],1727361638.8022635,[ -6.23469468  -1.05489999   4.3719579  -74.99554824]
[-0.02000142 -0.45476377  0.602374    0.36314505],[-0.02757621 -0.45622906  0.60353476  0.40142572],[-0.02661609 -0.45803184  0.60396332  0.41905974],[ 0.00290351  0.00264821 -0.00127394 -0.27563775],1727361638.803809,[-15.39532654  -4.67940783   0.16286555 -74.87350292]
