target,real_target,js,jv,time,action
[-0.10589664 -0.00569511  0.19927828  1.243759  ],[-0.10725046 -0.0121301   0.17462017  1.26536369],[-0.10716318 -0.01221738  0.17453295  1.26536369],[0. 0. 0. 0.],1727361709.3826435,[ -1.1250382  -10.01347755  -6.91178463 -36.77629015]
[-0.10631058 -0.00551286  0.19940118  1.2438524 ],[-0.10733775 -0.01204281  0.1747074   1.26536369],[-0.10700574 -0.01209796  0.17459953  1.26536369],[0.00314867 0.00238854 0.00133156 0.        ],1727361709.3843122,[ -1.22800474  -8.70134254  -5.45693154 -28.35012738]
[-0.10710941 -0.00541867  0.19684201  1.2439812 ],[-0.10742503 -0.01195553  0.17462017  1.26536369],[-0.10684838 -0.01197867  0.17466622  1.26536369],[0.00314721 0.00238578 0.00133388 0.        ],1727361709.3858192,[  0.92190194  -8.65559983  -4.85220592 -28.16298176]
[-0.10784713 -0.00534308  0.19466037  1.2440997 ],[-0.10751232 -0.01186824  0.17453295  1.26536369],[-0.10688164 -0.01185938  0.17473295  1.26536369],[-0.00066515  0.00238569  0.00133463  0.        ],1727361709.3873098,[  2.2951591   -8.59526316  -4.36136724 -28.0115804 ]
[-0.10803081 -0.00537001  0.19531885  1.2442492 ],[-0.10751232 -0.01186824  0.17462017  1.26536369],[-0.10691483 -0.0117401   0.17479971  1.26536369],[-0.00066386  0.00238559  0.00133516  0.        ],1727361709.3888156,[  2.39161936  -8.38755931  -4.52017414 -27.79934846]
[-0.10819853 -0.00539282  0.19533922  1.2443874 ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10694802 -0.01162084  0.17486646  1.26536369],[-0.00066376  0.00238522  0.00133501  0.        ],1727361709.3902564,[  2.6665266   -8.20062535  -4.50353745 -27.62243376]
[-0.10845753 -0.00543953  0.19380695  1.244505  ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10698119 -0.0115016   0.17493321  1.26536369],[-0.00066346  0.00238491  0.00133504  0.        ],1727361709.3917048,[  3.17442853  -7.97813296  -4.136105   -27.47693496]
[-0.10865733 -0.00542639  0.1922946   1.2444526 ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10701433 -0.01138237  0.17499998  1.26536369],[-0.00066283  0.00238456  0.00133541  0.        ],1727361709.3931096,[  3.49945746  -7.84667845  -3.78889774 -27.62782256]
[-0.10881589 -0.00544043  0.19048515  1.2423078 ],[-0.10751232 -0.01186824  0.1747074   1.26361841],[-0.10704745 -0.01126315  0.17506677  1.26536369],[-0.00066239  0.00238435  0.00133574  0.        ],1727361709.3946147,[  3.74541168  -7.66688565  -3.37312967 -31.46331043]
[-0.10901067 -0.00536776  0.18770453  1.2398396 ],[-0.10751232 -0.01186824  0.1747074   1.26187313],[-0.10708056 -0.01114395  0.17513358  1.26536369],[-0.00066204  0.00238409  0.00133609  0.        ],1727361709.3960392,[  4.09757634  -7.61790033  -2.73690988 -34.87663791]
[-0.10939163 -0.00530065  0.18542498  1.2363347 ],[-0.1075996  -0.01186818  0.1747074   1.25925511],[-0.10711363 -0.01102475  0.1752004   1.26536369],[-0.0006615   0.00238402  0.00133656  0.        ],1727361709.3974392,[  4.89793796  -7.54834475  -2.22575445 -40.00061792]
[-0.10982806 -0.00522026  0.1813129   1.2325114 ],[-0.10768689 -0.01186811  0.1747074   1.2566371 ],[-0.10714664 -0.01090555  0.17526725  1.26536369],[-0.00066008  0.00238392  0.00133689  0.        ],1727361709.3988848,[  5.76295907  -7.49902275  -1.28792222 -45.20023274]
[-0.11036915 -0.00538496  0.171541    1.2264727 ],[-0.10777411 -0.01195546  0.17444561  1.25227374],[-0.10717955 -0.01078636  0.17533412  1.26536369],[-0.00065823  0.00238385  0.00133739  0.        ],1727361709.4003026,[  6.86630709  -7.08915087   0.93366011 -54.23464861]
[-0.11045457 -0.00535474  0.16503486  1.2199669 ],[-0.10786133 -0.01204281  0.17418382  1.24791038],[-0.10721231 -0.01066719  0.17527888  1.26536369],[-0.0006553   0.0023833  -0.00110467  0.        ],1727361709.4017067,[  6.79705868  -6.99969492   2.31871099 -63.04656417]
[-0.10991801 -0.00514758  0.1642288   1.210352  ],[-0.10794861 -0.01204275  0.17418382  1.24092907],[-0.10724509 -0.01054803  0.17522366  1.26536369],[-0.00065552  0.00238318 -0.00110439  0.        ],1727361709.4032207,[  5.36233136  -7.14121026   2.42644056 -77.23070503]
[-0.10260355 -0.00469487  0.1792067   1.1988888 ],[-0.1080359  -0.01204268  0.17418382  1.23394775],[-0.10727805 -0.01042887  0.17516845  1.24828148],[-0.00065919  0.00238336 -0.00110435 -0.34164417],1727361709.4047256,[-12.6616468   -7.61669642  -1.0399483  -62.50124719]
[-0.11534731 -0.00420716  0.14349109  1.1932276 ],[-0.1082104  -0.01204275  0.17427117  1.22347581],[-0.1071376  -0.01030967  0.17523532  1.24828148],[0.00280902 0.00238401 0.00133748 0.        ],1727361709.406215,[ 22.22952775  -8.1081357    7.3444184  -75.38841116]
[-0.10643656 -0.00422903  0.16062558  1.1770165 ],[-0.10838491 -0.01204281  0.17435852  1.21300387],[-0.10715126 -0.01019043  0.17518023  1.23458278],[-2.73288759e-04  2.38475796e-03 -1.10184659e-03 -2.73974061e-01],1727361709.407809,[ -5.00637801  -7.84881832   3.0287534  -77.1934443 ]
[-0.1100904  -0.0031979   0.16592276  1.1636091 ],[-0.10864669 -0.01213003  0.17418382  1.19904125],[-0.10699662 -0.01007121  0.17512502  1.21749743],[ 0.00309287  0.00238435 -0.00110419 -0.34170697],1727361709.409306,[  7.96501734  -9.20350519   1.97054496 -69.36713158]
[-0.11781777 -0.00425776  0.11865653  1.1521173 ],[-0.10890848 -0.01221725  0.17400911  1.18507862],[-0.10702919 -0.00995187  0.1750698   1.21395133],[-0.00065148  0.00238674 -0.00110443 -0.07092197],1727361709.410804,[ 25.57680772  -7.34717888  12.8868061  -85.43495817]
[-0.10729697 -0.0060916   0.1870152   1.122546  ],[-0.10934484 -0.01221725  0.1739219   1.16587996],[-0.10703684 -0.00983269  0.17501535  1.18332289],[-1.53015375e-04  2.38363555e-03 -1.08903589e-03 -6.12568927e-01],1727361709.412328,[ -3.60033676  -4.6582621   -3.32957303 -79.71814249]
[-0.11794006 -0.00278364  0.14731453  1.109354  ],[-0.1097812  -0.01221725  0.17383468  1.14668131],[-0.106881   -0.00971365  0.17508215  1.16115444],[ 0.00311681  0.00238088  0.00133611 -0.443369  ],1727361709.413739,[ 27.36389982  -9.6047739    6.50973361 -64.06781011]
[-0.12560275 -0.00617026  0.09791637  1.0907395 ],[-0.11013027 -0.01230454  0.17383468  1.12137401],[-0.10690825 -0.00959427  0.17502703  1.16115444],[-0.00054494  0.00238759 -0.00110251  0.        ],1727361709.4151738,[  42.07683236   -4.01707324   17.46172071 -101.88273205]
[-0.10611433 -0.00934598  0.20991847  1.041716  ],[-0.11047935 -0.01239182  0.17383468  1.09606671],[-0.10829481 -0.00947525  0.17497472  1.11115444],[-0.02773117  0.00238042 -0.00104605 -1.        ],1727361709.4165852,[-12.77360344   0.30169921  -8.81713295 -91.19006325]
