target,real_target,js,jv,time,action
[-0.07308306 -0.25735477  0.2681967   0.96361065],[-0.0719948  -0.25848323  0.25141455  0.98785633],[-0.07208202 -0.25848323  0.25150177  0.98785633],[0. 0. 0. 0.],1727361585.7579484,[  4.30560536  -1.60071681  -5.22655982 -36.51125952]
[-0.07317397 -0.25742     0.2646098   0.9636603 ],[-0.07190759 -0.25848323  0.25132734  0.98785633],[-0.0721143  -0.2583609   0.25156925  0.98785633],[-0.00064567  0.00244671  0.00134963  0.        ],1727361585.75951,[  2.23778049  -1.21506618  -2.8320892  -31.91494503]
[-0.07350741 -0.2573472   0.262758    0.96380633],[-0.0719948  -0.258396    0.25132734  0.98785633],[-0.07214673 -0.25823857  0.25163685  0.98785633],[-0.00064848  0.00244649  0.0013519   0.        ],1727361585.7609882,[  2.9623217   -1.16951751  -2.42730242 -31.67591281]
[-0.07391459 -0.2572472   0.260717    0.9640682 ],[-0.07208202 -0.25830877  0.25132734  0.98785633],[-0.07217911 -0.25811625  0.25170445  0.98785633],[-0.00064765  0.0024464   0.00135218  0.        ],1727361585.7625258,[  3.77465981  -1.14391199  -1.96150724 -31.27467259]
[-0.07458506 -0.2570264   0.25894555  0.96540123],[-0.07225659 -0.2581342   0.25132734  0.988729  ],[-0.07221144 -0.25799393  0.25177208  0.98785633],[-0.00064655  0.00244632  0.00135247  0.        ],1727361585.764022,[  5.21203984  -1.29126398  -1.5596284  -29.00082816]
[-0.07517039 -0.25678256  0.25813395  0.9666428 ],[-0.07243116 -0.25795963  0.25132734  0.98960167],[-0.07224364 -0.25787162  0.25183971  0.98785633],[-0.00064404  0.0024463   0.0013527   0.        ],1727361585.7654703,[  6.33461618  -1.45497247  -1.37586725 -27.40588803]
[-0.07524389 -0.25681704  0.25807285  0.9656743 ],[-0.07243116 -0.25795963  0.25141469  0.988729  ],[-0.07227571 -0.25774931  0.25190735  0.98785633],[-0.00064145  0.00244629  0.0013528   0.        ],1727361585.767038,[  6.21979559  -1.20810338  -1.35511364 -29.74515299]
[-0.07524104 -0.2568542   0.2572558   0.96445245],[-0.07243116 -0.25795963  0.25150204  0.98785633],[-0.0723078  -0.257627    0.25197499  0.98785633],[-0.00064176  0.00244612  0.00135283  0.        ],1727361585.768503,[  6.11670234  -0.9972103   -1.1528589  -31.47961664]
[-0.07532234 -0.25691637  0.25490913  0.96319157],[-0.07243116 -0.25795963  0.25150204  0.98698369],[-0.0723399  -0.2575047   0.25204264  0.98785633],[-0.00064204  0.00244598  0.00135294  0.        ],1727361585.769976,[  6.25264974  -0.75015503  -0.60629073 -33.16275798]
[-0.07538149 -0.25701925  0.25206727  0.9616625 ],[-0.07243116 -0.25795963  0.25150204  0.98611104],[-0.07237199 -0.25738241  0.2521103   0.98785633],[-0.0006417   0.00244582  0.00135319  0.        ],1727361585.771533,[  6.30051602  -0.4470952    0.03879745 -35.30987959]
[-0.07525878 -0.25724423  0.24976687  0.957881  ],[-0.07243116 -0.25804685  0.25141469  0.98349306],[-0.07240407 -0.25726013  0.25205394  0.98785633],[-0.00064159  0.00244565 -0.00112712  0.        ],1727361585.7730153,[ 5.90540905e+00  2.88017691e-02  5.25773823e-01 -4.13825163e+01]
[-0.07504898 -0.25720868  0.24614154  0.9535848 ],[-0.07243116 -0.25813407  0.25132734  0.98087507],[-0.0724362  -0.25733743  0.25199759  0.98785633],[-0.00064259 -0.00154616 -0.00112704  0.        ],1727361585.77446,[  5.36549839  -0.1861341    1.32430734 -47.30059633]
[-0.07503387 -0.2570168   0.2402496   0.947096  ],[-0.07251845 -0.25804679  0.25106555  0.97651175],[-0.07246839 -0.25721516  0.25194125  0.98785633],[-0.00064382  0.00244554 -0.00112689  0.        ],1727361585.7760065,[  5.34323012  -0.27178436   2.63098506 -56.91824603]
[-0.07480802 -0.25662047  0.23563477  0.94009924],[-0.07260574 -0.25795951  0.25080377  0.97214842],[-0.07250058 -0.25709288  0.25188492  0.98785633],[-0.00064388  0.0024455  -0.0011266   0.        ],1727361585.7774544,[  4.72097941  -0.66287298   3.62098153 -66.39773756]
