target,real_target,js,jv,time,action
[-0.20140189  0.21346253 -0.07219747  1.4636292 ],[-0.19661137  0.22209319 -0.09040816  1.47829378],[-0.19652408  0.2220059  -0.09040816  1.47829378],[0. 0. 0. 0.],1727361630.2171593,[ 13.19643709  11.91007628  -4.7234361  -33.67766476]
[-0.20151366  0.21363339 -0.07224504  1.4636239 ],[-0.19669865  0.22218047 -0.09040816  1.47829378],[-0.19655697  0.22192449 -0.09034193  1.47829378],[-0.00065764 -0.00162821  0.00132469  0.        ],1727361630.218803,[ 10.39053289  10.9080865   -3.98016866 -19.36684484]
[-0.20122978  0.2135821  -0.07129186  1.4636296 ],[-0.19661137  0.22209319 -0.09032081  1.47829378],[-0.1965912   0.22184323 -0.09027566  1.47829378],[-0.00068463 -0.00162536  0.00132542  0.        ],1727361630.2203035,[  9.56943665  10.90039998  -4.18537384 -19.3539663 ]
[-0.20097522  0.2135386  -0.07104747  1.4636145 ],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.19662569  0.22176196 -0.0902094   1.47829378],[-0.00068989 -0.0016253   0.00132522  0.        ],1727361630.2218747,[  8.97674891  10.84940002  -4.21741823 -19.38395825]
[-0.20094012  0.21363272 -0.07211579  1.4635972 ],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.19666035  0.2216807  -0.09014314  1.47829378],[-0.00069314 -0.00162514  0.00132518  0.        ],1727361630.2235231,[  8.9172628   10.59820686  -3.95457909 -19.40781052]
[-0.20085873  0.21375705 -0.07277208  1.4635141 ],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.19669502  0.22159948 -0.09007687  1.47829378],[-0.00069346 -0.00162451  0.00132542  0.        ],1727361630.2249875,[  8.65648551  10.32252963  -3.79977    -19.54907098]
[-0.20066914  0.21387622 -0.07296796  1.4624534 ],[-0.19652408  0.2220059  -0.09023346  1.47742116],[-0.19672976  0.22151828 -0.09001059  1.47829378],[-0.00069476 -0.00162386  0.00132555  0.        ],1727361630.2264504,[  8.14498933  10.05880585  -3.74673441 -21.41848824]
[-0.20046918  0.21401383 -0.0736346   1.4613684 ],[-0.19652408  0.2220059  -0.09023346  1.47654855],[-0.19676461  0.22143712 -0.08994431  1.47829378],[-0.00069709 -0.00162328  0.00132558  0.        ],1727361630.2279613,[  7.65011869   9.76737221  -3.58074815 -22.86220916]
[-0.20041434  0.21401219 -0.07416604  1.4613307 ],[-0.19652408  0.22191869 -0.09023359  1.47654855],[-0.19679957  0.22135599 -0.08987802  1.47829378],[-0.00069911 -0.00162268  0.00132572  0.        ],1727361630.229403,[  7.51954956   9.68242075  -3.45060975 -22.40946701]
[-0.2004012   0.2140314  -0.07473797  1.4612722 ],[-0.19652408  0.22183147 -0.09023373  1.47654855],[-0.19683455  0.22127486 -0.08981173  1.47829378],[-0.00069962 -0.00162249  0.00132581  0.        ],1727361630.2308352,[  7.43537784   9.54697492  -3.30979536 -22.49646855]
[-0.20034288  0.21417549 -0.07555547  1.4601561 ],[-0.19652408  0.22183147 -0.09023373  1.47567588],[-0.19686955  0.22119375 -0.08974544  1.47829378],[-0.00069995 -0.00162221  0.00132591  0.        ],1727361630.2322917,[  7.22252802   9.23182139  -3.11288505 -24.47750711]
[-0.2002464   0.21437858 -0.07657945  1.4588531 ],[-0.19652408  0.22183147 -0.09023373  1.47480321],[-0.19690458  0.22111267 -0.08967913  1.47829378],[-0.00070073 -0.00162164  0.00132605  0.        ],1727361630.2337348,[  6.9326005    8.84826003  -2.87094003 -26.287078  ]
[-0.20017001  0.2147104  -0.07660601  1.4565293 ],[-0.19661137  0.22191875 -0.09023373  1.47305793],[-0.19693967  0.22103162 -0.08961282  1.47829378],[-0.00070173 -0.00162101  0.00132622  0.        ],1727361630.235164,[  6.70754085   8.28481514  -2.86056486 -29.84462469]
[-0.20003706  0.2150853  -0.07674383  1.4539192 ],[-0.19669865  0.22200604 -0.09023373  1.47131264],[-0.19697479  0.22095061 -0.08954651  1.47829378],[-0.00070247 -0.0016202   0.00132622  0.        ],1727361630.2366776,[  6.33399924   7.67685838  -2.81453209 -33.42731755]
[-0.19964823  0.2152185  -0.07692698  1.4492886 ],[-0.19669865  0.22191869 -0.09023359  1.46782196],[-0.19700998  0.22086964 -0.0894802   1.47829378],[-0.00070361 -0.00161944  0.00132624  0.        ],1727361630.2381163,[  5.34706482   7.42880328  -2.75919252 -40.5094984 ]
[-0.19929561  0.21536228 -0.07892421  1.4444996 ],[-0.19669865  0.22183134 -0.09023346  1.46433127],[-0.19704528  0.22078868 -0.08941389  1.47829378],[-0.00070618 -0.00161914  0.00132627  0.        ],1727361630.2395453,[  4.55049448   7.13062708  -2.28692846 -46.90702373]
[-0.19924419  0.21561024 -0.08200388  1.4406121 ],[-0.19678587  0.22183134 -0.09032081  1.46171325],[-0.19708068  0.22070774 -0.08934756  1.47829378],[-0.00070789 -0.0016188   0.00132656  0.        ],1727361630.2409484,[  4.48758131   6.68156643  -1.58389554 -51.60584886]
[-0.1991304   0.21590741 -0.0853547   1.4362016 ],[-0.1968731   0.22183134 -0.09040816  1.45909524],[-0.19711608  0.22062682 -0.08928121  1.47829378],[-0.00070803 -0.00161836  0.00132693  0.        ],1727361630.242381,[  4.15122276   6.1754114   -0.82938744 -57.67875905]
[-0.19849968  0.21626498 -0.08913738  1.4245802 ],[-0.19704767  0.22183134 -0.0905826   1.45036858],[-0.19715151  0.22054593 -0.08921485  1.47829378],[-0.00070867 -0.00161792  0.00132726  0.        ],1727361630.2438922,[ 2.55545192e+00  5.58798916e+00  2.17532931e-02 -7.64801492e+01]
[-0.19266333  0.21791358 -0.07277425  1.4112372 ],[-0.19722223  0.22183134 -0.09075703  1.44164193],[-0.19718707  0.22046505 -0.08926822  1.46292591],[-0.00071109 -0.00161747 -0.00106738 -0.30735727],1727361630.2453985,[-11.76580678   3.12000986  -3.79414982 -67.25711914]
[-0.2010954   0.21898028 -0.1003461   1.4052168 ],[-0.19730952  0.2218314  -0.09049525  1.43204266],[-0.19703284  0.22038424 -0.08920194  1.4627901 ],[ 0.00308448 -0.00161624  0.00132547 -0.00271628],1727361630.2469704,[ 11.87030765   1.68870778   2.73030788 -78.82135445]
[-0.19254376  0.21892658 -0.07136815  1.3902198 ],[-0.1973968   0.22183147 -0.09023346  1.42244339],[-0.19706648  0.22030345 -0.08925529  1.44234278],[-0.00067273 -0.00161578 -0.00106691 -0.40894634],1727361630.248398,[-12.83163577   1.81358774  -4.22780501 -66.18617664]
