target,real_target,js,jv,time,action
[-0.1828599   0.00426177  0.1564865   0.4545354 ],[-0.18020523  0.01815137  0.16240293  0.47996554],[-0.18011795  0.01815131  0.16231571  0.47996554],[0. 0. 0. 0.],1727361604.699925,[ 5.83261591e+00  2.13792014e+01 -3.20146378e-02 -3.37947150e+01]
[-0.18311177  0.00456374  0.15674768  0.4545528 ],[-0.18029252  0.01815144  0.16249014  0.47996554],[-0.18015271  0.01806729  0.1623825   0.47996554],[-0.0006953  -0.0016804   0.00133579  0.        ],1727361604.701479,[  6.26985948  17.76934576   1.2377012  -33.53645787]
[-0.18321003  0.00526003  0.15737304  0.4546066 ],[-0.1803798   0.01832594  0.16240293  0.47996554],[-0.18018742  0.01798715  0.16232744  0.47996554],[-0.00069416 -0.00160267 -0.00110127  0.        ],1727361604.702982,[  6.34227438  16.6884998    1.08310774 -33.44798377]
[-0.18320319  0.0060768   0.15837361  0.45464846],[-0.18046708  0.01850045  0.16231571  0.47996554],[-0.18022212  0.01790765  0.16227237  0.47996554],[-0.00069397 -0.00159014 -0.00110128  0.        ],1727361604.7045188,[  6.21410062  15.48823286   0.8470868  -33.39842457]
[-0.1830935   0.00640212  0.16230877  0.45477182],[-0.18046708  0.01841323  0.16240293  0.47996554],[-0.18025684  0.01782866  0.16221731  0.47996554],[-0.00069435 -0.00157967 -0.0011013   0.        ],1727361604.705972,[  5.87180463  15.0250811   -0.06034262 -33.19651007]
[-0.18316929  0.00683452  0.16194344  0.45486763],[-0.18046708  0.01832601  0.16249014  0.47996554],[-0.1802916   0.01774984  0.1622841   0.47996554],[-0.00069528 -0.0015764   0.00133577  0.        ],1727361604.7074327,[  6.03051477  14.33493911   0.07929854 -33.08326444]
[-0.18328466  0.00793588  0.16207133  0.45497614],[-0.1805543   0.01850045  0.16240293  0.47996554],[-0.18032635  0.01767123  0.16222903  0.47996554],[-0.00069489 -0.00157217 -0.00110141  0.        ],1727361604.7089026,[ 6.21459371e+00  1.26815148e+01  3.28481131e-02 -3.29339138e+01]
[-0.183209    0.00946466  0.16233976  0.4549463 ],[-0.18064152  0.01867488  0.16231571  0.47996554],[-0.18036107  0.017593    0.16217396  0.47996554],[-0.00069441 -0.0015646  -0.0011014   0.        ],1727361604.7103379,[  5.90871916  10.49902929  -0.03973936 -33.03969618]
[-0.18297774  0.01127682  0.16092724  0.45388523],[-0.18064152  0.01876224  0.16231558  0.47909287],[-0.18039583  0.01751509  0.16224074  0.47996554],[-0.00069524 -0.00155839  0.00133577  0.        ],1727361604.7117863,[  5.29149087   7.96355498   0.30388457 -34.93533597]
[-0.18246798  0.01314543  0.16274644  0.45252016],[-0.18064152  0.01884959  0.16231544  0.47822019],[-0.18043067  0.01743737  0.16218568  0.47996554],[-0.00069675 -0.00155438 -0.00110137  0.        ],1727361604.7132769,[  4.0436294    5.38632866  -0.1422618  -36.88314916]
[-0.18191884  0.01440334  0.1599404   0.4490969 ],[-0.18064152  0.01876224  0.16231558  0.47560221],[-0.18046563  0.01735976  0.16225246  0.47996554],[-0.00069923 -0.00155222  0.00133573  0.        ],1727361604.714716,[  2.80732369   3.71100412   0.53761018 -42.38978421]
[-0.18108287  0.01551771  0.15865865  0.44529057],[-0.18064152  0.01867488  0.16231571  0.47298422],[-0.18050068  0.01728219  0.1621974   0.47996554],[-0.00070111 -0.0015514  -0.00110134  0.        ],1727361604.7161376,[  0.87395226   2.15823477   0.79088806 -47.59801122]
[-0.18000932  0.01662263  0.1530561   0.43945193],[-0.18064152  0.01858767  0.16214114  0.46862091],[-0.18053584  0.01720464  0.16214233  0.47996554],[-0.0007032  -0.00155089 -0.00110129  0.        ],1727361604.7176461,[ -1.5368107    0.59874286   2.05488745 -56.2804939 ]
[-0.17868432  0.01791882  0.14699982  0.43318948],[-0.18064152  0.01850045  0.16196656  0.4642576 ],[-0.18036894  0.01712711  0.16208728  0.47996554],[ 0.00333805 -0.00155053 -0.00110105  0.        ],1727361604.7191808,[ -3.97668469  -1.24198908   3.37973164 -64.75038002]
[-0.1773897   0.01926427  0.15073161  0.42441422],[-0.18072881  0.01858773  0.16222835  0.45727627],[-0.18020382  0.0172461   0.16203224  0.47996554],[ 0.00330243  0.00237972 -0.0011007   0.        ],1727361604.7207148,[ -6.32609221  -2.83981112   2.4479671  -77.53987114]
[-0.17262806  0.02335466  0.19666229  0.4120428 ],[-0.1808161   0.01867502  0.16249014  0.45029494],[-0.18004118  0.01736512  0.1619772   0.46111059],[ 0.00325273  0.00238041 -0.00110094 -0.37709905],1727361604.7221909,[-17.30358185  -8.47552431  -8.09425611 -61.65737546]
[-0.18278113  0.02233789  0.11777864  0.40895778],[-0.1808161   0.0185878   0.16222835  0.44069564],[-0.17991523  0.01748442  0.16204354  0.46111059],[0.00251902 0.00238605 0.00132695 0.        ],1727361604.7237122,[ 10.0355546   -6.24371257  10.53409472 -70.32250743]
[-0.17696062  0.02069153  0.12675169  0.39590028],[-0.1808161   0.01850058  0.16196656  0.43109635],[-0.17994912  0.01760357  0.16198887  0.4557947 ],[-0.00067771  0.00238299 -0.00109354 -0.10631766],1727361604.7252417,[ -8.55025754  -3.82299689   7.66117777 -82.77661547]
[-0.17295608  0.02507227  0.204424    0.37730646],[-0.18099067  0.01850058  0.16187921  0.41800638],[-0.17978985  0.01772262  0.16193396  0.42847416],[ 0.00318534  0.00238099 -0.00109812 -0.54641078],1727361604.7266934,[-15.79608134 -10.31248573 -10.13129833 -63.35254621]
[-0.18636562  0.02410582  0.08116832  0.374556  ],[-0.18116523  0.01850058  0.16179186  0.40491641],[-0.17965454  0.01784212  0.16199997  0.42847416],[0.00270629 0.00238998 0.00132018 0.        ],1727361604.7283337,[ 19.35742732  -8.11240065  19.02604582 -72.4921673 ]
[-0.179469    0.02124497  0.12959686  0.35411307],[-0.18125245  0.01850058  0.16187908  0.38746311],[-0.17967871  0.01796139  0.16194947  0.4197697 ],[-0.0004835   0.00238547 -0.00100989 -0.17408921],1727361604.729816,[ -3.16231256  -3.90709401   6.62890862 -92.30123562]
[-0.16870695  0.02689143  0.23986942  0.32240215],[-0.18133967  0.01850058  0.16196629  0.37000981],[-0.17951303  0.01808045  0.16189452  0.3697697 ],[ 0.00331366  0.00238106 -0.00109903 -1.        ],1727361604.731296,[-26.75542209 -12.42291315 -18.26657694 -53.74638889]
[-0.19540066  0.0262608   0.07860678  0.32773882],[-0.18151424  0.0185878   0.16187921  0.35168386],[-0.17948808  0.01820029  0.16195487  0.3697697 ],[0.000499   0.00239692 0.0012069  0.        ],1727361604.7328439,[ 43.77374362 -10.5322887   19.96271388 -52.91918061]
[-0.18620954  0.01816398  0.08950824  0.30887666],[-0.18168882  0.01867502  0.16179213  0.3333579 ],[-0.18156429  0.01831982  0.16190577  0.3697697 ],[-0.04152426  0.00239058 -0.00098187  0.        ],1727361604.7343767,[  5.27376053   1.3836002   15.8170772  -89.43261677]
[-0.16708237  0.02830575  0.23176892  0.270407  ],[-0.18186332  0.01858773  0.16170478  0.3132866 ],[-0.18159916  0.01824228  0.16185253  0.33228464],[-6.97450334e-04 -1.55089595e-03 -1.06482595e-03 -7.49701183e-01],1727361604.7358909,[-37.8822879  -14.74882876 -16.81613045 -82.15111188]
[-0.18094786  0.0285308   0.14708188  0.25644878],[-0.18203782  0.01850045  0.16161743  0.2932153 ],[-0.18069121  0.01836274  0.16191486  0.30664413],[ 0.01815911  0.00240931  0.00124661 -0.51281028],1727361604.737409,[  6.35122244 -13.4368216    4.11752955 -60.65038892]
[-0.19149315  0.01991746  0.0899121   0.24099842],[-0.18221239  0.01850045  0.16153021  0.2661627 ],[-0.18072592  0.01848282  0.16185984  0.30664413],[-0.00069423  0.00240157 -0.00110041  0.        ],1727361604.7388427,[ 26.6404633   -0.64169634  16.40422011 -94.0684875 ]
[-0.1640987   0.02868242  0.21476182  0.18637471],[-0.18238696  0.01850045  0.161443    0.2391101 ],[-0.18074536  0.0186018   0.16180694  0.25664413],[-3.88808982e-04  2.37958645e-03 -1.05811329e-03 -1.00000000e+00],1727361604.7402601,[-45.58163672 -14.54590766 -12.90909229 -94.97502999]
[-0.18210927  0.02898001  0.2260462   0.16287845],[-0.18256146  0.01858773  0.16135577  0.20943951],[-0.17767234  0.0187222   0.16187209  0.20664413],[ 0.06146039  0.00240798  0.00130312 -1.        ],1727361604.7417,[ 17.57167461 -13.56571101 -14.23139445 -45.04888743]
[-0.20738947  0.02361299  0.04402619  0.16274795],[-0.18273596  0.01867502  0.16126855  0.17976892],[-0.17770008  0.01884231  0.16193658  0.20664413],[-0.00055473  0.00240226  0.00128978  0.        ],1727361604.7431278,[ 71.99021355  -5.5106608   27.77569894 -58.00559355]
