target,real_target,js,jv,time,action
[-0.17211137  0.23404911 -0.10070157  1.49979178],[-0.19661137  0.22209319 -0.09040816  1.47829378],[-0.19652408  0.2220059  -0.09040816  1.47829378],[0. 0. 0. 0.],1725718515.5322912,[-69.62588888 -15.79148264   0.49447028  52.24699369]
[-0.22119865  0.19768047 -0.08413481  1.49995308],[-0.19669865  0.22218047 -0.09040816  1.47829378],[-0.17669551  0.22212939 -0.09046153  1.47884562],[ 0.39657142  0.00246979 -0.00106733  0.01103696],1725718515.5322912,[120.13683922  37.50408913  -1.55940818  27.67437191]
[-0.22111137  0.24659319 -0.08890785  1.49033122],[-0.19661137  0.22209319 -0.09032081  1.47829378],[-0.19947938  0.22166294 -0.09039517  1.47884562],[-0.45567741 -0.00932912  0.00132706  0.        ],1725718515.5322912,[ 36.20876095 -39.98692789  -0.27843099  10.54249334]
[-0.22102408  0.1975059  -0.09284479  1.46090741],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.19988701  0.22216617 -0.0903288   1.47884562],[-0.00815258  0.01006456  0.00132759  0.        ],1725718515.5322912,[ 43.98168289  39.66084143   0.59387212 -37.80187036]
[-0.17202408  0.1975059  -0.10412805  1.46310928],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.20208857  0.22142724 -0.09038216  1.47884562],[-0.04403122 -0.01477843 -0.00106732  0.        ],1725718515.5332854,[-82.98771594  31.47023723   3.13729291 -19.71507626]
[-0.19839012  0.22225826 -0.06573346  1.50122092],[-0.19652408  0.2220059  -0.09023346  1.47829378],[-0.17980915  0.22126105 -0.0904355   1.47884562],[ 0.44558839 -0.00332378 -0.00106682  0.        ],1725718515.5332854,[57.98108152 -4.88862628 -5.82200433 47.82896835]
[-0.17202408  0.21728914 -0.09720059  1.50192116],[-0.19652408  0.2220059  -0.09023346  1.47742116],[-0.19566254  0.22138272 -0.09036934  1.47884562],[-0.31706775  0.00243321  0.00132332  0.        ],1725718515.5332854,[-66.02194148   6.13333567   1.82073204  30.79583219]
[-0.19224518  0.21335461 -0.0974748   1.49622978],[-0.19652408  0.2220059  -0.09023346  1.47654855],[-0.17751207  0.2213018  -0.09042269  1.47884562],[ 0.36300944 -0.00161825 -0.00106712  0.        ],1725718515.5332854,[45.89524542 11.04275476  1.55369054 20.21521373]
[-0.17974164  0.20769416 -0.06816801  1.47087223],[-0.19652408  0.22191869 -0.09023359  1.47654855],[-0.18065626  0.22122053 -0.09047605  1.47884562],[-0.06288375 -0.0016254  -0.00106717  0.        ],1725718515.5342822,[ -8.07048668  18.65464836  -5.20371835 -22.69650208]
[-0.20569663  0.23230886 -0.08927735  1.45204855],[-0.19652408  0.22183147 -0.09023373  1.47654855],[-0.18049607  0.22113634 -0.09040984  1.47884562],[ 0.00320375 -0.00168378  0.00132414  0.        ],1725718515.5342822,[ 6.29480970e+01 -1.82885480e+01 -3.56990258e-02 -4.44075007e+01]
[-0.21521572  0.19733147 -0.09873911  1.50017588],[-0.19652408  0.22183147 -0.09023373  1.47567588],[-0.20039162  0.22126125 -0.09034346  1.47884562],[-0.39791099  0.0024982   0.00132768  0.        ],1725718515.5342822,[26.89820336 36.61957865  1.94308587 51.25705588]
[-0.18272433  0.24544847 -0.07657906  1.48441857],[-0.19652408  0.22183147 -0.09023373  1.47480321],[-0.2004146   0.22087109 -0.09039681  1.47884562],[-0.00045957 -0.0078032  -0.0010671   0.        ],1725718515.5352795,[-49.77031082 -39.39612539  -3.26381687  -0.20722942]
[-0.18781703  0.21966586 -0.09470123  1.49755793],[-0.19661137  0.22191875 -0.09023373  1.47305793],[-0.19497171  0.22132862 -0.09033051  1.47884562],[0.10885768 0.00915057 0.00132601 0.        ],1725718515.5352795,[-10.80647941   5.95663203   1.14489816  31.00713025]
[-0.17659129  0.21752946 -0.06573373  1.49581264],[-0.19669865  0.22200604 -0.09023373  1.47131264],[-0.19481515  0.22124772 -0.09038388  1.47884562],[ 0.00313128 -0.0016181  -0.00106724  0.        ],1725718515.5352795,[-42.44468456   5.20277334  -5.71556275  21.55872689]
[-0.18873605  0.24641869 -0.09229785  1.44332196],[-0.19669865  0.22191869 -0.09023359  1.46782196],[-0.19286068  0.22116684 -0.0903177   1.47884562],[ 0.03908932 -0.00161757  0.00132346  0.        ],1725718515.5352795,[ -3.07102964 -37.48559355   0.70406506 -72.08677253]
[-0.21165178  0.19733134 -0.10360686  1.44141721],[-0.19669865  0.22183134 -0.09023346  1.46433127],[-0.19269296  0.22151078 -0.09037107  1.47024831],[ 0.00335447  0.00687886 -0.0010673  -0.17194621],1725718515.536277,[ 48.70958119  39.00333842   3.02533228 -34.84462845]
[-0.19294221  0.22901311 -0.08184174  1.47828718],[-0.19678587  0.22183134 -0.09032081  1.46171325],[-0.19798335  0.2208707  -0.09042441  1.47024831],[-0.10580777 -0.01280163 -0.00106685  0.        ],1725718515.536277,[-19.98235809 -15.38164464  -2.10811845  28.30889728]
