target,real_target,js,jv,time,action
[-0.21093069  0.08802333  0.04531985  1.31972355],[-0.2134538   0.08002333  0.05331985  1.32295966],[-0.2134538   0.08011055  0.05323263  1.32295966],[0. 0. 0. 0.],1725718480.0365124,[-9.63023237 -9.55289051  0.20322149 -6.69660871]
[-0.20931991  0.08171336  0.05125905  1.33095966],[-0.2134538   0.07993611  0.05340707  1.32295966],[-0.21329171  0.08023031  0.05317869  1.32295966],[ 0.00324177  0.00239515 -0.00107873  0.        ],1725718480.0365124,[-8.87126138 -1.03585844  0.36191052 15.95333576]
[-0.20772297  0.07202333  0.05596074  1.33183227],[-0.2134538   0.08002333  0.05331985  1.32383227],[-0.2131281   0.08034964  0.05312476  1.32295966],[ 0.0032723   0.00238665 -0.00107871  0.        ],1725718480.0375946,[-11.86087432  12.39699969  -0.67185401  12.1307016 ]
[-0.2214538   0.08811055  0.05119833  1.32705092],[-0.2134538   0.08011055  0.05323263  1.32470489],[-0.21297185  0.08027075  0.05319096  1.32295966],[ 0.003125   -0.00157773  0.00132408  0.        ],1725718480.0375946,[ 23.19323841 -12.66610428   0.48705151   3.10541694]
[-0.2214538   0.07752761  0.05672652  1.32804121],[-0.2134538   0.08002333  0.05331985  1.32470489],[-0.21298165  0.080391    0.05313703  1.32295966],[-0.00019604  0.00240496 -0.00107869  0.        ],1725718480.0375946,[17.70293882  5.31408935 -0.84595668  7.1829906 ]
[-0.21925284  0.07210008  0.05431546  1.33270489],[-0.2134538   0.07993611  0.05340707  1.32470489],[-0.21300998  0.08031269  0.05320323  1.32295966],[-0.00056669 -0.00156628  0.00132401  0.        ],1725718480.0384793,[12.1701154  11.60750106 -0.2197207  15.10225757]
[-0.2054538   0.07202333  0.05568445  1.33009189],[-0.2134538   0.08002333  0.05331985  1.32383227],[-0.21304392  0.08023393  0.05326944  1.32295966],[-0.00067883 -0.00157524  0.00132425  0.        ],1725718480.0384793,[-21.30802009  10.83769848  -0.5444354    8.16029543]
[-0.21823489  0.07211055  0.04523263  1.31787915],[-0.2134538   0.08011055  0.05323263  1.32295966],[-0.21295422  0.08015526  0.05333565  1.32295966],[ 0.00179408 -0.00157323  0.00132414  0.        ],1725718480.0384793,[ 16.10255783  10.59524157   1.88868552 -12.56839283]
[-0.21460854  0.08487836  0.04514528  1.31408693],[-0.2134538   0.0801979   0.05314528  1.32208693],[-0.21298491  0.08007663  0.05328172  1.32295966],[-0.00061385 -0.00157266 -0.00107849  0.        ],1725718480.0384793,[  1.95397761  -8.17994151   1.79035488 -13.53226941]
[-0.21406184  0.08828525  0.05918539  1.32586637],[-0.2134538   0.08028525  0.05305792  1.3212142 ],[-0.21302098  0.08019626  0.0532278   1.32295966],[-0.00072137  0.00239254 -0.0010785   0.        ],1725718480.039477,[  1.94601994 -11.14873427  -1.45273876   9.4909812 ]
[-0.21872799  0.08488269  0.05571161  1.32746892],[-0.2134538   0.0801979   0.05314528  1.31946892],[-0.21305705  0.08031623  0.05329398  1.32295966],[-0.0007214   0.00239936  0.00132375  0.        ],1725718480.039477,[13.67466622 -5.52274722 -0.49619506  6.72143844]
[-0.2054538   0.07706531  0.06123263  1.32012704],[-0.2134538   0.08011055  0.05323263  1.31772363],[-0.21309006  0.08043569  0.05336019  1.32295966],[-0.00066029  0.00238929  0.00132416  0.        ],1725718480.039477,[-21.19750966   5.58672386  -1.78692067  -7.26315185]
[-0.20554102  0.0875885   0.05133857  1.31594434],[-0.21354102  0.08011055  0.05314528  1.31423295],[-0.21299888  0.08035737  0.05342637  1.32295966],[ 0.00182369 -0.00156645  0.00132359  0.        ],1725718480.039477,[-15.51671709 -11.06492264   0.55971456 -11.26792214]
[-0.21090824  0.08256289  0.05201602  1.30274226],[-0.21362823  0.08011055  0.05305792  1.31074226],[-0.21285782  0.08047732  0.05337244  1.32295966],[ 0.00282115  0.00239913 -0.00107872  0.        ],1725718480.040474,[ -1.90657579  -2.01528523   0.29103866 -33.02397026]
[-0.21680465  0.08811062  0.0476772   1.30798672],[-0.21371552  0.08011062  0.05323249  1.30463362],[-0.21268612  0.08059668  0.0533185   1.32295966],[ 0.00343396  0.00238707 -0.00107875  0.        ],1725718480.040474,[ 10.99613624 -10.69661129   1.28427752 -17.24693518]
[-0.2218028   0.08595272  0.05240241  1.29052498],[-0.2138028   0.08011068  0.05340707  1.29852498],[-0.2127206   0.08071658  0.05326457  1.32295966],[-0.00068943  0.00239809 -0.00107859  0.        ],1725718480.040474,[ 20.93550925  -6.58515786   0.14150163 -51.19542404]
[-0.21052091  0.08776706  0.05426466  1.28782473],[-0.21397737  0.08011068  0.05305806  1.28892571],[-0.21274072  0.0808361   0.05321063  1.32295966],[-0.0004025   0.00239045 -0.00107875  0.        ],1725718480.040474,[ -9.0878712   -9.39183236  -0.25120209 -47.6742283 ]
[-0.22106206  0.0880033   0.0483574   1.28732644],[-0.21415195  0.08011068  0.05270905  1.27932644],[-0.21257761  0.08095585  0.05327684  1.32295966],[0.00326211 0.00239493 0.00132424 0.        ],1725718480.0414712,[ 21.94568847  -9.31933211   1.14249114 -47.27503333]
[-0.21206626  0.08418272  0.04497084  1.27095185],[-0.21441374  0.08002333  0.05297084  1.26798177],[-0.21259374  0.08107559  0.05322291  1.32295966],[-0.00032248  0.0023948  -0.00107861  0.        ],1725718480.0414712,[ -4.64952026  -3.53652543   1.84904879 -76.5101202 ]
[-0.219625    0.08793598  0.06123263  1.24886163],[-0.21467553  0.07993598  0.05323263  1.2566371 ],[-0.21242429  0.08119499  0.05316899  1.30588333],[ 0.00338889  0.00238795 -0.00107848 -0.34152667],1725718480.0424685,[ 18.09129487  -9.41905326  -1.93846334 -77.6753145 ]
[-0.20685003  0.07882661  0.05482476  1.24095647],[-0.21485003  0.07993604  0.05314528  1.24005646],[-0.21245191  0.08131474  0.05323516  1.28711263],[-0.00055227  0.00239505  0.0013235  -0.37541399],1725718480.0424685,[-16.74702044   4.60741872  -0.28445348 -55.71067346]
[-0.22302453  0.07193611  0.05779645  1.22585681],[-0.21502453  0.07993611  0.05305792  1.22347581],[-0.21231832  0.08123643  0.05330137  1.28711263],[ 0.00267185 -0.00156614  0.00132423  0.        ],1725718480.0424685,[ 28.79485544  13.25302372  -1.0182036  -88.10550852]
[-0.20767004  0.08194606  0.05766722  1.20471892],[-0.21546089  0.08002333  0.05297071  1.20427722],[-0.212372    0.08115737  0.05336757  1.25141377],[-0.00107374 -0.00158128  0.00132395 -0.71397711],1725718480.0424685,[-15.89174796  -2.4874364   -0.94395337 -54.64794883]
[-0.21703292  0.08811055  0.06088349  1.18588709],[-0.21589725  0.08011055  0.05288349  1.18507862],[-0.21223313  0.08127674  0.05343377  1.25141377],[0.00277739 0.0023874  0.00132398 0.        ],1725718480.043466,[ 13.77144482  -9.88725735  -1.67069023 -95.53450422]
[-0.21531827  0.08561754  0.05563707  1.1625592 ],[-0.21633354  0.08019783  0.05288349  1.16326201],[-0.21226605  0.08139655  0.05349995  1.20141377],[-6.58406870e-04  2.39611570e-03  1.32365118e-03 -1.00000000e+00],1725718480.043466,[  5.69127695  -5.19714008  -0.41661432 -38.48542331]
[-0.21087456  0.07228512  0.05354539  1.14360548],[-0.21676983  0.08028512  0.05288349  1.1414454 ],[-0.21230178  0.08151601  0.05356616  1.20141377],[-0.00071447  0.00238919  0.0013242   0.        ],1725718480.043466,[-4.74597741e+00  1.41132341e+01  2.63216293e-02 -8.54047241e+01]
[-0.20920619  0.07254691  0.05986563  1.11075606],[-0.21720619  0.08054691  0.05270892  1.11875606],[-0.21213248  0.08143673  0.05351222  1.17078405],[ 0.00338602 -0.00158548 -0.00107881 -0.61259451],1725718480.0444632,[ -6.70597908  11.68567153  -1.46200207 -80.30240745]
[-0.21795893  0.08243789  0.05131466  1.10406671],[-0.21764255  0.0808087   0.05253435  1.09606671],[-0.21196551  0.08135794  0.05357841  1.14861432],[ 0.00333928 -0.00157576  0.00132376 -0.44339459],1725718480.0444632,[ 16.0370512   -2.85479142   0.58488698 -51.37225344]
[-0.22229187  0.08239722  0.05463314  1.07475514],[-0.21816613  0.08098327  0.05270892  1.06901413],[-0.21199626  0.08147732  0.05352447  1.14861432],[-0.00061493  0.00238762 -0.00107874  0.        ],1725718480.0444632,[  23.21116394   -1.19132062   -0.27790023 -111.5636667 ]
[-0.21444084  0.08635562  0.04685919  1.03712246],[-0.21868971  0.08115783  0.05288349  1.04196155],[-0.21200595  0.08159667  0.05359069  1.09861432],[-1.93799351e-04  2.38692543e-03  1.32424719e-03 -1.00000000e+00],1725718480.0444632,[  1.99494162  -6.83217455   1.5599589  -75.23293651]
[-0.21520896  0.08328922  0.06105806  1.0060363 ],[-0.21921335  0.08159413  0.05305806  1.0140363 ],[-0.21204198  0.08171622  0.05353676  1.08490035],[-0.00072072  0.0023909  -0.00107859 -0.27427942],1725718480.0454602,[   6.90712811   -1.61962426   -1.79835457 -112.43919919]
[-0.21173699  0.08481527  0.05800567  0.98178571],[-0.21973699  0.08203042  0.05323263  0.98611104],[-0.21207753  0.08183557  0.05360294  1.03490035],[-7.10820454e-04  2.38712719e-03  1.32359143e-03 -1.00000000e+00],1725718480.0454602,[ -2.09226655  -4.13486521  -0.93716639 -57.7516021 ]
[-0.22166761  0.07437956  0.06114528  0.95120864],[-0.22026058  0.08237956  0.05314528  0.95818576],[-0.21190608  0.08195499  0.05366914  1.03490035],[0.00342899 0.00238846 0.001324   0.        ],1725718480.0454602,[  24.37777151   11.51275583   -1.67573082 -125.15004777]
[-0.2222539   0.08369571  0.04505792  0.93826048],[-0.22078416  0.0827287   0.05305792  0.93026048],[-0.21190805  0.08187622  0.05373532  0.98490035],[-3.93926221e-05 -1.57541177e-03  1.32366122e-03 -1.00000000e+00],1725718480.0454602,[ 21.85281936  -3.74857784   2.07185456 -43.77974361]
[-0.22561683  0.07916724  0.06097071  0.89982964],[-0.22139502  0.08316499  0.05297071  0.90146255],[-0.21192457  0.08199563  0.05368139  0.98490035],[-0.0003304   0.00238821 -0.00107851  0.        ],1725718480.0464575,[  29.93398736    4.39980503   -1.76459311 -130.74013246]
[-0.22346444  0.08429274  0.05279563  0.88033739],[-0.22200587  0.08360129  0.05288349  0.87266463],[-0.21200356  0.08191732  0.05374757  0.93490035],[-0.00157986 -0.00156622  0.00132362 -1.        ],1725718480.0464575,[ 23.07497948  -3.88156172   0.29249859 -57.37938685]
