target,real_target,js,jv,time,action
[-0.16290671 -0.14185732  0.34675884  0.87689129],[-0.16702798 -0.13735732  0.34225884  0.88139129],[-0.16702798 -0.13735732  0.34225884  0.88139129],[0. 0. 0. 0.],1725718465.4420223,[-10.91814337   7.74250669  -2.65490999 -10.74671986]
[-0.17152798 -0.13285732  0.34311178  0.87885049],[-0.16702798 -0.13735732  0.34225884  0.88139129],[-0.16687553 -0.13743429  0.3423277   0.88139129],[ 0.00304901 -0.00153922  0.0013772   0.        ],1725718465.4420223,[13.17696015 -7.34286153 -0.13504069 -2.41344174]
[-0.16605913 -0.14161597  0.34057454  0.88363148],[-0.16711526 -0.13727004  0.34225884  0.88139129],[-0.16690764 -0.13731428  0.34239662  0.88139129],[-0.00064229  0.0024002   0.00137847  0.        ],1725718465.4430196,[-3.93856313  6.95107694  0.42712913  5.25193946]
[-0.17170255 -0.13614204  0.33814617  0.87689129],[-0.16720255 -0.13718276  0.34225884  0.88139129],[-0.16674442 -0.1373912   0.34233872  0.88139129],[ 0.00326454 -0.00153846 -0.00115816  0.        ],1725718465.4430196,[12.64798693 -2.44465573  0.94625369 -9.17529467]
[-0.16270255 -0.13809576  0.34684619  0.88028202],[-0.16720255 -0.13727011  0.34234619  0.88139129],[-0.16677684 -0.13727139  0.34228081  0.88139129],[-0.00064847  0.00239608 -0.00115806  0.        ],1725718465.4430196,[-12.07043321   1.3854267   -1.09266297   0.16331773]
[-0.16662924 -0.13549573  0.34408398  0.8839474 ],[-0.16720255 -0.13735746  0.34243354  0.88139129],[-0.16662763 -0.13734819  0.34234972  0.88139129],[ 0.00298411 -0.00153586  0.00137807  0.        ],1725718465.4430196,[ 1.60763806 -2.82899949 -0.35299981  5.13344384]
[-0.16644079 -0.13686442  0.34271165  0.88501862],[-0.16720255 -0.13735746  0.34243354  0.88051862],[-0.16666237 -0.13722837  0.34241864  0.88139129],[-0.00069478  0.00239626  0.0013784   0.        ],1725718465.4440167,[-0.5509568  -0.2670218  -0.0499353   5.30225905]
[-0.16487925 -0.13285746  0.34320284  0.87888561],[-0.16720255 -0.13735746  0.34243354  0.87964594],[-0.16649694 -0.13710861  0.34248756  0.88139129],[0.00330858 0.00239523 0.00137853 0.        ],1725718465.4440167,[-3.93049588 -6.16879317 -0.16161801 -6.25133699]
[-0.16347982 -0.13963473  0.34159506  0.87448191],[-0.16720255 -0.13735746  0.34243354  0.87877327],[-0.16633377 -0.13698868  0.34255649  0.88139129],[0.00326353 0.0023987  0.00137852 0.        ],1725718465.4440167,[ -6.45133858   4.48157016   0.22841631 -11.23415177]
[-0.16563188 -0.1411186   0.33967679  0.88134936],[-0.16720255 -0.13735746  0.34243354  0.8779006 ],[-0.16617324 -0.13706552  0.34249858  0.88139129],[ 0.00321053 -0.00153687 -0.00115825  0.        ],1725718465.445014,[-0.22121263  5.55177698  0.6395467   3.24102706]
[-0.17178983 -0.14173687  0.34188788  0.87537176],[-0.16728983 -0.13735739  0.34252076  0.87615526],[-0.16600772 -0.13714239  0.34244067  0.88139129],[ 0.0033104  -0.00153744 -0.00115817  0.        ],1725718465.445014,[ 14.57352656   6.14233086   0.09874189 -10.81501342]
[-0.17187711 -0.14185732  0.33810798  0.87257375],[-0.16737711 -0.13735732  0.34260798  0.87440991],[-0.16603879 -0.13721928  0.34238276  0.88139129],[-0.00062144 -0.00153783 -0.00115822  0.        ],1725718465.445014,[ 12.22421557   6.12845787   0.97797002 -12.98218747]
[-0.16896185 -0.13285732  0.33802076  0.87629193],[-0.16737711 -0.13735732  0.34252076  0.87179193],[-0.16607142 -0.13729617  0.34232485  0.88139129],[-0.00065261 -0.00153782 -0.00115807  0.        ],1725718465.445014,[ 4.88069574 -7.16054566  0.94719663 -4.94642864]
[-0.16449858 -0.14185732  0.34030152  0.86886866],[-0.16737711 -0.13735732  0.34243354  0.86917394],[-0.16610591 -0.13717618  0.34226695  0.88139129],[-0.00068972  0.00239992 -0.00115806  0.        ],1725718465.4460113,[ -5.1296234    7.48655501   0.40882172 -20.09304174]
[-0.17196434 -0.13757734  0.34533861  0.86843797],[-0.16746434 -0.13735746  0.34243368  0.86393797],[-0.16594391 -0.13725313  0.34220905  0.88139129],[ 0.00324002 -0.00153896 -0.00115811  0.        ],1725718465.4460113,[ 15.58498155  -0.19665505  -0.73986176 -17.30510091]
[-0.17031715 -0.13285759  0.33793381  0.85638153],[-0.16755156 -0.13735759  0.34243381  0.858702  ],[-0.16597402 -0.13713337  0.34227796  0.88139129],[-0.00060221  0.00239521  0.0013782   0.        ],1725718465.4460113,[  8.41696598  -6.30347421   1.03104716 -38.79997838]
[-0.17009238 -0.13740702  0.34347488  0.85646676],[-0.16772613 -0.13735746  0.34225911  0.85259333],[-0.16600796 -0.13701342  0.34222006  0.88139129],[-0.0006788   0.00239886 -0.00115802  0.        ],1725718465.4460113,[  8.43459789   1.18894878  -0.33249945 -32.85945642]
[-0.16402453 -0.13566919  0.3412737   0.84199242],[-0.1679007  -0.13735732  0.34208441  0.84648466],[-0.1660419  -0.13709021  0.34228897  0.88139129],[-0.00067874 -0.00153582  0.00137837  0.        ],1725718465.4470086,[ -6.617953    -2.13589864   0.24624215 -58.95419747]
[-0.17249368 -0.14185739  0.33940166  0.83631719],[-0.1680752  -0.13735739  0.34199719  0.83863068],[-0.16588162 -0.13697042  0.34223107  0.88139129],[ 0.00320546  0.00239586 -0.00115814  0.        ],1725718465.4470086,[ 17.21574924   7.35511523   0.64075649 -62.22192115]
[-0.1727497  -0.14185746  0.34021734  0.82794383],[-0.1682497  -0.13735746  0.34190997  0.83077669],[-0.16590966 -0.13704736  0.34217316  0.88139129],[-0.00056074 -0.00153883 -0.00115807  0.        ],1725718465.4470086,[ 14.38540794   6.33830598   0.42147471 -74.56986046]
[-0.16522869 -0.14185746  0.34567149  0.81908745],[-0.16842427 -0.13735746  0.34225911  0.82117739],[-0.16594089 -0.13712426  0.34211526  0.86765516],[-0.00062452 -0.00153797 -0.00115808 -0.2747226 ],1725718465.4470086,[ -4.46105658   6.23679663  -0.83793155 -61.76709699]
[-0.17309885 -0.13285746  0.34146222  0.8089641 ],[-0.16859885 -0.13735746  0.34260824  0.81157809],[-0.16577826 -0.13720116  0.34218417  0.86765516],[ 0.00325258 -0.00153789  0.00137813  0.        ],1725718465.448006,[ 18.46173605  -7.03494381   0.20195235 -82.33140093]
[-0.16671889 -0.14046364  0.34653746  0.79972983],[-0.16877335 -0.13735739  0.34252089  0.8019788 ],[-0.16580413 -0.13708117  0.34212626  0.84206926],[-0.00051743  0.00239974 -0.00115811 -0.511718  ],1725718465.448006,[ -0.60947622   5.57248931  -1.02220577 -48.03925468]
[-0.17251937 -0.13730352  0.34624867  0.793549  ],[-0.16894785 -0.13735732  0.34243354  0.7923795 ],[-0.16563885 -0.13715804  0.34219516  0.84206926],[ 0.00330556 -0.00153745  0.00137806  0.        ],1725718465.448006,[ 16.72840348  -0.27202185  -0.88816548 -67.0135361 ]
[-0.17253505 -0.13285732  0.33968858  0.78466219],[-0.16920964 -0.13735732  0.34243354  0.78016219],[-0.16566758 -0.13703828  0.34226407  0.84187011],[-0.00057459  0.00239521  0.00137814 -0.00398297],1725718465.4490032,[ 14.34787496  -6.13910061   0.63342872 -79.68453842]
[-0.17397143 -0.1343128   0.34693354  0.77113815],[-0.16947143 -0.13735732  0.34243354  0.76794487],[-0.16569883 -0.13691835  0.34220617  0.81966683],[-0.000625    0.00239865 -0.00115808 -0.44406565],1725718465.4490032,[ 17.84278726  -3.21347639  -1.1136357  -59.89181353]
[-0.17099996 -0.13293587  0.34049882  0.75692894],[-0.16973322 -0.13735746  0.34234633  0.75660023],[-0.16572585 -0.13679853  0.34227507  0.81966683],[-0.00054036  0.00239635  0.00137804  0.        ],1725718465.4490032,[  9.84267782  -5.27892442   0.4563299  -89.63443057]
[-0.16953087 -0.14031783  0.34663222  0.74266215],[-0.16999501 -0.13735759  0.34225911  0.74525559],[-0.16575941 -0.13667864  0.34221716  0.76966683],[-6.71282520e-04  2.39776771e-03 -1.15811079e-03 -1.00000000e+00],1725718465.4500005,[  7.29089419   5.87919738  -1.03372124 -18.49422476]
[-0.17193526 -0.13277031  0.34560822  0.73269642],[-0.17034408 -0.13727031  0.34225911  0.73216563],[-0.16579357 -0.13675552  0.34228607  0.76966683],[-0.00068309 -0.00153765  0.00137808  0.        ],1725718465.4500005,[ 13.76906354  -6.35351951  -0.719857   -53.58448847]
[-0.16619316 -0.13334074  0.34675911  0.71927954],[-0.17069316 -0.13718303  0.34225911  0.71907568],[-0.16582526 -0.13663558  0.34235498  0.76966683],[-0.00063384  0.00239881  0.00137824  0.        ],1725718465.4500005,[ -1.50365258  -4.25022051  -0.97981514 -72.95131898]
[-0.17037883 -0.13805066  0.33775911  0.70235837],[-0.17095501 -0.13718296  0.34225911  0.70685837],[-0.16566046 -0.13651574  0.34242389  0.75930455],[ 0.00329593  0.00239692  0.00137815 -0.20724558],1725718465.450998,[ 11.57374358   2.71849831   1.11766543 -78.31722704]
[-0.16980016 -0.14168289  0.34675911  0.69403593],[-0.17121686 -0.13718289  0.34225911  0.69464105],[-0.16569339 -0.13659255  0.34236598  0.74047809],[-0.00065857 -0.0015362  -0.00115806 -0.37652913],1725718465.450998,[  8.34241295   7.22895769  -1.05779153 -56.26171557]
