target,real_target,js,jv,time,action
[-0.25341052  0.32111126  0.03614107  0.61188392],[-0.25691247  0.32463121  0.04293525  0.60388392],[-0.25691247  0.32463121  0.04293525  0.60388392],[0. 0. 0. 0.],1725718473.564433,[-7.98824612  6.8190262  -0.08099742  2.45933969]
[-0.26392878  0.33263121  0.03493525  0.60075631],[-0.25691247  0.32463121  0.04293525  0.60388392],[-0.25673993  0.32454718  0.04300144  0.60388392],[ 0.0034509  -0.00168067  0.00132381  0.        ],1725718473.564433,[ 19.23261215 -12.33447165   1.78738371  -9.46970353]
[-0.26491247  0.31663121  0.03755291  0.61188392],[-0.25691247  0.32463121  0.04293525  0.60388392],[-0.25676608  0.32467265  0.04294759  0.60388392],[-0.00052313  0.00250935 -0.00107693  0.        ],1725718473.565432,[17.40283576 12.92643958  1.15990234 15.90125428]
[-0.25954499  0.31973486  0.03493525  0.59588392],[-0.25691247  0.32463121  0.04293525  0.60388392],[-0.25679606  0.32458795  0.04289374  0.60388392],[-0.00059965 -0.00169396 -0.00107703  0.        ],1725718473.565432,[  3.62081891   5.94900285   1.7767115  -18.24      ]
[-0.24986575  0.31671851  0.04706386  0.59588392],[-0.25699975  0.32471851  0.04293525  0.60388392],[-0.25683344  0.32450395  0.0428399   0.60388392],[-0.00074758 -0.00167993 -0.00107691  0.        ],1725718473.565432,[-18.38695303  10.69717469  -1.05207151 -10.56      ]
[-0.24908702  0.3328058   0.03493525  0.60503761],[-0.25708702  0.3248058   0.04293525  0.60388392],[-0.25670672  0.32441962  0.04290607  0.60388392],[ 0.00253449 -0.00168659  0.00132343  0.        ],1725718473.565432,[-16.18179257 -13.38811025   1.87650345   5.91663652]
[-0.24908702  0.32065621  0.05084803  0.5959685 ],[-0.25708702  0.32489301  0.04284803  0.60388392],[-0.25656337  0.32454534  0.04285222  0.60388392],[ 0.00286692  0.00251423 -0.0010769   0.        ],1725718473.5664291,[-15.56915219   6.89343187  -1.92002138 -14.8015299 ]
[-0.26319296  0.32126141  0.04046189  0.59588392],[-0.25708702  0.32498023  0.04276081  0.60388392],[-0.25641636  0.3244613   0.04291837  0.60388392],[ 0.0029403  -0.00168068  0.00132301  0.        ],1725718473.5664291,[ 19.77307033   4.12504659   0.64578473 -10.60059729]
[-0.24908702  0.33086985  0.04602094  0.59501125],[-0.25708702  0.32498023  0.04276081  0.60301125],[-0.25644105  0.32437736  0.04286452  0.60388392],[-0.00049389 -0.00167876 -0.0010771   0.        ],1725718473.5664291,[-20.93174151  -9.95957813  -0.75099181 -12.13080889]
[-0.25827975  0.33126118  0.04451782  0.60885691],[-0.25708702  0.32498023  0.04276081  0.60213858],[-0.25634224  0.32450244  0.0429307   0.60388392],[0.00197617 0.00250144 0.00132356 0.        ],1725718473.5664291,[ 7.70654421 -8.95970727 -0.33334982 13.21026607]
[-0.25340325  0.32431218  0.04391589  0.60175741],[-0.25708702  0.32498023  0.04276081  0.60039324],[-0.25637906  0.3246274   0.04299688  0.60388392],[-0.00073625  0.00249927  0.00132372  0.        ],1725718473.5674264,[-8.15331643  1.4302153  -0.19544623 -6.21475087]
[-0.2639099   0.32446699  0.03776479  0.60664789],[-0.25708702  0.32498023  0.04276081  0.59864789],[-0.2562069   0.3245435   0.04306307  0.60388392],[ 0.00344313 -0.00167797  0.00132377  0.        ],1725718473.5674264,[20.30244309  0.06676697  1.22829282  5.99587073]
[-0.25684439  0.33298023  0.05076068  0.59353101],[-0.25717424  0.32498023  0.04276068  0.59428459],[-0.25622999  0.32445962  0.04300922  0.60388392],[-0.00046178 -0.00167763 -0.00107703  0.        ],1725718473.5674264,[ -1.5059806  -12.47968697  -1.83686255 -19.9619503 ]
[-0.24926146  0.31918344  0.04383485  0.58552408],[-0.25726146  0.32498023  0.04276054  0.5899213 ],[-0.25605045  0.32458512  0.04307537  0.60388392],[0.00359076 0.00250991 0.00132306 0.        ],1725718473.5674264,[-17.10297597   9.12610823  -0.0966054  -28.07831319]
[-0.25269808  0.33200557  0.05049889  0.58191554],[-0.25734875  0.32489294  0.04249889  0.58293998],[-0.25591346  0.32450094  0.04314156  0.60388392],[ 0.00273983 -0.0016835   0.00132381  0.        ],1725718473.5684237,[ -5.31356737 -11.75635497  -1.68511829 -30.73035612]
[-0.25184883  0.33280565  0.05023723  0.56795867],[-0.25743604  0.32480565  0.04223723  0.57595867],[-0.25573727  0.32462629  0.04320772  0.60388392],[0.00352369 0.00250703 0.00132315 0.        ],1725718473.5684237,[ -8.39176274 -10.89347833  -1.54318885 -54.12063411]
