target,real_target,js,jv,time,action
[-0.15378714  0.30977007 -0.20304673  1.54469098],[-0.15428714  0.31014508 -0.20306906  1.54461634],[-0.15428714  0.31014508 -0.20298184  1.54461634],[0. 0. 0. 0.],1725718449.054754,[ -7.23097302   4.27735263  -1.73221091 -14.65513669]
[-0.15415065  0.31003634 -0.20365628  1.54485583],[-0.15428714  0.31014508 -0.20315628  1.54461634],[-0.15412928  0.31006165 -0.20291446  1.54461634],[ 0.00315725 -0.00166867  0.00134772  0.        ],1725718449.054754,[ 0.24987401 -0.01673105  0.17002375  0.39524619]
[-0.15456793  0.30955779 -0.20256906  1.54411634],[-0.15419986  0.31005779 -0.20306906  1.54461634],[-0.15416374  0.31018571 -0.20296832  1.54461634],[-0.00068921  0.0024813  -0.00107732  0.        ],1725718449.055751,[ 0.9954302   0.91524846 -0.0993401  -1.01495331]
[-0.15447097  0.31012082 -0.20257384  1.54498987],[-0.15411258  0.3099705  -0.20298184  1.54461634],[-0.15419817  0.31010233 -0.2029009   1.54461634],[-0.00068864 -0.00166761  0.00134842  0.        ],1725718449.055751,[ 0.51841495 -0.11706897 -0.07122576  0.91234687]
[-0.15463312  0.31008418 -0.20327312  1.54482494],[-0.15419986  0.31005779 -0.20298184  1.54461634],[-0.15423263  0.3102264  -0.20283348  1.54461634],[-0.00068905  0.00248135  0.00134841  0.        ],1725718449.055751,[0.88730487 0.21077365 0.10444741 0.19619201]
[-0.15456928  0.30964508 -0.20348184  1.54418919],[-0.15428714  0.31014508 -0.20298184  1.54461634],[-0.15426707  0.31014302 -0.20288735  1.54461634],[-0.00068877 -0.0016675  -0.00107732  0.        ],1725718449.0567486,[ 0.59295262  0.70828111  0.13234995 -0.86900805]
[-0.15478714  0.30956166 -0.20287011  1.5446411 ],[-0.15428714  0.31005786 -0.20289463  1.54461634],[-0.15430152  0.31005965 -0.20294122  1.54461634],[-0.00068903 -0.00166754 -0.00107732  0.        ],1725718449.0567486,[ 1.08715195  0.65735247 -0.02235182  0.24960062]
[-0.15426073  0.31017276 -0.20292609  1.54439054],[-0.15428714  0.30997065 -0.20280741  1.54461634],[-0.15433595  0.30997627 -0.20287379  1.54461634],[-0.00068863 -0.00166747  0.00134843  0.        ],1725718449.0567486,[-0.37795114 -0.35892436  0.01274831 -0.41833045]
[-0.15470836  0.30955786 -0.20251434  1.54324373],[-0.15428714  0.31005786 -0.20289463  1.54374373],[-0.15417215  0.31010034 -0.20292766  1.54461634],[ 0.00327593  0.00248134 -0.00107734  0.        ],1725718449.0567486,[ 1.36133257  0.82200672 -0.09562328 -2.36231597]
[-0.15478714  0.31037376 -0.20326857  1.54265088],[-0.15428714  0.31014508 -0.20298184  1.54287112],[-0.15420657  0.31001696 -0.20286024  1.54461634],[-0.00068832 -0.00166753  0.00134841  0.        ],1725718449.0577466,[ 1.23086866 -0.59988622  0.09811577 -2.87897627]
