target,real_target,js,jv,time,action
[-0.18032592 -0.10872771  0.38011177  1.35421465],[-0.19242255 -0.12077675  0.39261177  1.36484742],[-0.19233534 -0.12077662  0.39252442  1.36484742],[0. 0. 0. 0.],1725718491.7347744,[-33.59159207 -15.14928754   1.18958065 -20.93020162]
[-0.20381341 -0.11858259  0.38924862  1.36093538],[-0.19250977 -0.12077688  0.39269912  1.36484742],[-0.19193905 -0.12065542  0.39246555  1.36484742],[ 0.00792566  0.00242401 -0.00117734  0.        ],1725718491.7357717,[34.21804799 -1.30595662  0.61503225 -1.93793726]
[-0.20310545 -0.10827675  0.39015563  1.37641924],[-0.19242255 -0.12077675  0.39261177  1.36484742],[-0.1921905  -0.12053584  0.39240668  1.36484742],[-0.00502886  0.00239148 -0.00117741  0.        ],1725718491.7357717,[ 22.4346222  -17.64230376   0.48549556  22.70705715]
[-0.19377938 -0.10827662  0.38002442  1.35234742],[-0.19233534 -0.12077662  0.39252442  1.36484742],[-0.19220411 -0.12041341  0.39234781  1.36484742],[-0.00027226  0.00244856 -0.0011774   0.        ],1725718491.7367978,[ -0.38377956 -16.00304034   2.81267555 -28.05447445]
[-0.19018193 -0.12728202  0.40070509  1.36174062],[-0.19242255 -0.12077675  0.39269912  1.36484742],[-0.19203482 -0.12029187  0.39228897  1.36484742],[ 0.00338578  0.0024309  -0.00117691  0.        ],1725718491.7367978,[-5.22185754 11.96903347 -2.06060108  0.40776091]
[-0.19347152 -0.12916693  0.39679315  1.36018842],[-0.19250977 -0.12077688  0.39287382  1.36484742],[-0.19186917 -0.12036924  0.39235871  1.36484742],[ 0.00331309 -0.00154739  0.00139481  0.        ],1725718491.7367978,[ 4.70889352 11.87208607 -0.93544141 -6.89494162]
[-0.20492255 -0.11257811  0.40359802  1.37523172],[-0.19242255 -0.1208641   0.39287382  1.36484742],[-0.19190439 -0.12044659  0.39242848  1.36484742],[-0.00070455 -0.00154709  0.00139541  0.        ],1725718491.7377956,[ 31.70121655 -12.77566094  -2.52518888  20.92806509]
[-0.20357689 -0.12495262  0.40327583  1.36339986],[-0.19233534 -0.12095132  0.39287382  1.36484742],[-0.19203517 -0.12032608  0.39249821  1.36484742],[-0.00261553  0.00241015  0.00139457  0.        ],1725718491.7377956,[23.54107581  7.89831568 -2.36712713 -7.59008312]
[-0.20119595 -0.13306274  0.38737609  1.36749588],[-0.19233534 -0.12095132  0.39287382  1.36310214],[-0.19204274 -0.12040306  0.39256794  1.36484742],[-0.00015148 -0.0015396   0.0013947   0.        ],1725718491.7387917,[18.19007521 17.86240834  1.30318011  5.46205424]
[-0.19521005 -0.13345132  0.39143502  1.35049177],[-0.19233534 -0.12095132  0.39287382  1.36135685],[-0.1920697  -0.1204825   0.39250908  1.36484742],[-0.00053917 -0.00158864 -0.00117734  0.        ],1725718491.7387917,[  4.19666412  17.16317335   0.19478449 -27.11142927]
[-0.19884352 -0.10970267  0.39279626  1.36774821],[-0.19242255 -0.12095132  0.39261189  1.35524821],[-0.19210499 -0.1205615   0.3924502   1.36484742],[-0.00070564 -0.00158003 -0.00117748  0.        ],1725718491.7387917,[ 15.49977435 -17.74959061  -0.09044825  12.11213607]
[-0.18000977 -0.12276307  0.39681483  1.35931833],[-0.19250977 -0.12095132  0.39234996  1.34913957],[-0.19213583 -0.120439    0.39251999  1.36484742],[-0.00061686  0.00244996  0.00139578  0.        ],1725718491.7387917,[-32.76856321   4.9576734   -0.98466898 -11.34474978]
