target,real_target,js,jv,time,action
[-0.19247733 -0.12260157  0.38811177  1.36887465],[-0.19242255 -0.12077675  0.39261177  1.36484742],[-0.19233534 -0.12077662  0.39252442  1.36484742],[0. 0. 0. 0.],1725718469.7780788,[-1.72752504  5.30839111 -0.69810283 -0.55784384]
[-0.19390082 -0.12097389  0.39719912  1.3607443 ],[-0.19250977 -0.12077688  0.39269912  1.36484742],[-0.19216677 -0.12085349  0.3925942   1.36484742],[ 0.00337128 -0.00153749  0.00139557  0.        ],1725718469.7780788,[ 4.25079804 -0.08543573 -1.10398013 -9.31868453]
[-0.19003462 -0.12195321  0.39701277  1.36702335],[-0.19242255 -0.12077675  0.39261177  1.36484742],[-0.19220205 -0.12073393  0.39266397  1.36484742],[-0.00070559  0.00239113  0.00139542  0.        ],1725718469.7780788,[-6.06555573  1.76698131 -0.95415366  5.88616517]
[-0.19644511 -0.12332509  0.39702442  1.36422387],[-0.19233534 -0.12077662  0.39252442  1.36484742],[-0.19203733 -0.12081074  0.39273375  1.36484742],[ 0.00329439 -0.00153615  0.00139551  0.        ],1725718469.7780788,[11.80024848  3.50459559 -0.94336263 -2.16683747]
[-0.19692255 -0.12527675  0.38819912  1.36034742],[-0.19242255 -0.12077675  0.39269912  1.36484742],[-0.19207086 -0.12088757  0.39280352  1.36484742],[-0.00067062 -0.00153666  0.00139554  0.        ],1725718469.7791045,[10.3147556   6.06248755  1.10263055 -7.80069531]
[-0.19544977 -0.12527688  0.39737382  1.36034742],[-0.19250977 -0.12077688  0.39287382  1.36484742],[-0.192105   -0.12096447  0.39274465  1.36484742],[-0.00068261 -0.00153797 -0.00117746  0.        ],1725718469.7791045,[ 6.3974469   5.681378   -1.11149262 -5.94      ]
[-0.19133144 -0.11865117  0.39637514  1.3655765 ],[-0.19242255 -0.1208641   0.39287382  1.36484742],[-0.19214003 -0.12104136  0.39281442  1.36484742],[-0.00070059 -0.00153771  0.00139547  0.        ],1725718469.7791045,[-3.32471224 -4.11593786 -0.77258706  3.47233345]
[-0.19015648 -0.11919946  0.39219692  1.36454807],[-0.19233534 -0.12095132  0.39287382  1.36484742],[-0.19197261 -0.12092171  0.39288421  1.36484742],[0.00334834 0.00239299 0.00139565 0.        ],1725718469.7791045,[-4.19227878 -2.17760813  0.19402253 -0.88879262]
[-0.19683534 -0.11645132  0.39119542  1.36407247],[-0.19233534 -0.12095132  0.39287382  1.36310214],[-0.19180595 -0.12080211  0.39282532  1.36484742],[ 0.00333314  0.00239189 -0.00117763  0.        ],1725718469.7801056,[13.20581363 -6.11987067  0.36808043 -1.2512217 ]
[-0.19039015 -0.12038372  0.39737382  1.36549551],[-0.19233534 -0.12095132  0.39287382  1.36135685],[-0.1918387  -0.12068238  0.39276644  1.36484742],[-0.00065495  0.00239463 -0.00117759  0.        ],1725718469.7801056,[-5.57718873  0.18667247 -1.07649515  1.53853879]
[-0.19412815 -0.12331629  0.38890339  1.35215576],[-0.19242255 -0.12095132  0.39261189  1.35524821],[-0.19167346 -0.12075918  0.39283622  1.36484742],[ 0.00330473 -0.00153584  0.00139549  0.        ],1725718469.7801056,[  6.66660872   3.78479827   0.95130836 -23.1560778 ]
[-0.19362908 -0.12388055  0.39133688  1.3486314 ],[-0.19250977 -0.12095132  0.39234996  1.34913957],[-0.19170844 -0.12083601  0.39277734  1.36484742],[-0.00069954 -0.00153677 -0.0011775   0.        ],1725718469.7801056,[  3.80392919   4.08866393   0.29177853 -23.09684837]
[-0.1897495  -0.11743795  0.38934711  1.33585695],[-0.19285884 -0.12086404  0.39226261  1.33866757],[-0.19174374 -0.12091286  0.39271847  1.36484742],[-0.0007061  -0.00153689 -0.00117758  0.        ],1725718469.7811003,[ -5.70886277  -5.52150612   0.76116188 -44.39914979]
[-0.19770792 -0.12220129  0.39538868  1.32930135],[-0.19320792 -0.12077675  0.39217526  1.32819557],[-0.19157867 -0.12079315  0.39265959  1.36484742],[ 0.00330145  0.00239407 -0.00117749  0.        ],1725718469.7811003,[ 16.00753384   2.55877132  -0.66189193 -50.06750342]
[-0.19015799 -0.1236116   0.39550555  1.30886027],[-0.1934697  -0.12060231  0.39208817  1.31336027],[-0.19160893 -0.12086997  0.39272937  1.36484742],[-0.00060521 -0.00153635  0.00139563  0.        ],1725718469.7811003,[ -6.01603357   3.81011635  -0.61123399 -83.71475191]
[-0.19546611 -0.11873536  0.38750109  1.29895328],[-0.19373149 -0.12042788  0.39200109  1.29852498],[-0.19144424 -0.12094681  0.39279916  1.33592699],[ 0.00329381 -0.00153678  0.00139568 -0.57840858],1725718469.7821026,[ 10.55981259  -3.62918191   1.24696257 -39.67884727]
[-0.18956411 -0.12366295  0.39039698  1.27544695],[-0.19390606 -0.12007874  0.39200096  1.27670836],[-0.19147827 -0.12082718  0.39274029  1.33592699],[-0.00068055  0.00239265 -0.00117744  0.        ],1725718469.7821026,[ -6.33700606   4.46679067   0.48574333 -91.11669256]
[-0.19622713 -0.1152296   0.39163744  1.25142728],[-0.19408064 -0.1197296   0.39200082  1.25489175],[-0.19131399 -0.12090403  0.39268141  1.28592699],[ 0.00328549 -0.00153706 -0.00117754 -1.        ],1725718469.7821026,[ 12.95568206  -8.71027128   0.21657644 -33.06906545]
[-0.19423466 -0.11712097  0.39015904  1.23408446],[-0.19451693 -0.11946788  0.39200096  1.22958446],[-0.19134688 -0.12078412  0.39262253  1.28592699],[-0.00065781  0.00239828 -0.00117755  0.        ],1725718469.7821026,[  5.23826368  -4.54702072   0.55627599 -76.75670402]
[-0.19045322 -0.12173261  0.38750109  1.20148238],[-0.19495322 -0.11920615  0.39200109  1.20427716],[-0.19138204 -0.12066446  0.39256366  1.26884688],[-0.00070312  0.00239323 -0.00117748 -0.34160222],1725718469.7830937,[ -3.44345219   2.08824566   1.13996286 -96.37168638]
[-0.19126305 -0.11444423  0.39276949  1.17931931],[-0.19538958 -0.11894423  0.39182639  1.17984253],[-0.19121483 -0.12074127  0.39250479  1.21884688],[ 0.00334415 -0.00153623 -0.00117736 -1.        ],1725718469.7830937,[  0.48534541  -9.36796105  -0.11193277 -38.81466965]
[-0.19865958 -0.12168667  0.38897224  1.1529584 ],[-0.19582593 -0.11868231  0.39165169  1.15540791],[-0.19125032 -0.12062129  0.39257458  1.21884688],[-0.00070969  0.00239954  0.00139579  0.        ],1725718469.7830937,[ 18.38266271   2.4617752    0.83149461 -99.62602901]
[-0.19705513 -0.1165716   0.39615169  1.11957141],[-0.19652408 -0.11824595  0.39165169  1.12137401],[-0.19127688 -0.12069811  0.39251571  1.16884688],[-5.31317806e-04 -1.53633081e-03 -1.17741787e-03 -1.00000000e+00],1725718469.7830937,[ 11.43456947  -6.1913017   -0.8728785  -57.06936948]
[-0.20172223 -0.11405994  0.39086682  1.08513283],[-0.19722223 -0.11780959  0.39165169  1.08734012],[-0.19131056 -0.12057837  0.39258548  1.16884688],[-0.00067351  0.00239468  0.00139549  0.        ],1725718469.7840912,[  23.58411351   -8.94724142    0.4320793  -127.0330623 ]
[-0.20215852 -0.11657245  0.39139009  1.05666015],[-0.19765852 -0.11684972  0.39173904  1.06116015],[-0.19131786 -0.12045844  0.39252661  1.11884688],[-1.46085837e-04  2.39865235e-03 -1.17748211e-03 -1.00000000e+00],1725718469.7840912,[ 22.82582868  -4.75211934   0.24416541 -71.75337878]
[-0.20103433 -0.1175823   0.38732639  1.03948018],[-0.19809482 -0.11588985  0.39182639  1.03498018],[-0.1913295  -0.12033877  0.39246773  1.11021285],[-0.00023269  0.00239332 -0.00117748 -0.17268069],1725718469.7840912,[ 19.83602797  -3.4766167    1.17146397 -97.46917195]
[-0.1940899  -0.11392309  0.38750096  1.00080964],[-0.19853117 -0.11510449  0.39200096  1.00530964],[-0.19135266 -0.12021915  0.39240887  1.06021285],[-4.63279137e-04  2.39242512e-03 -1.17731863e-03 -1.00000000e+00],1725718469.7850885,[  2.97837229  -8.81824437   1.07738704 -72.97408898]
[-0.19762739 -0.1147045   0.39476281  0.9723835 ],[-0.19896753 -0.11431912  0.39217553  0.9756391 ],[-0.19138802 -0.12009924  0.39235     1.04988021],[-0.00070713  0.00239833 -0.00117731 -0.2066528 ],1725718469.7850885,[  14.41872599   -6.99183806   -0.60461104 -110.98052537]
[-0.19647977 -0.11559939  0.38758831  0.94545734],[-0.1995784  -0.11353368  0.39208831  0.94684112],[-0.19141986 -0.11997946  0.39241978  0.99988021],[-6.36899916e-04  2.39546980e-03  1.39554367e-03 -1.00000000e+00],1725718469.7850885,[ 10.11095921  -5.63623109   1.13594581 -60.76275105]
[-0.19568926 -0.11459658  0.3928768   0.91909012],[-0.20018926 -0.11274825  0.39200109  0.91804314],[-0.19145404 -0.11985977  0.39236091  0.99988021],[-0.00068361  0.00239396 -0.00117731  0.        ],1725718469.7850885,[   8.52701064   -7.07400774   -0.16739727 -119.29918517]
[-0.20336057 -0.10833682  0.39632639  0.89004695],[-0.20080012 -0.1118756   0.39182639  0.8927359 ],[-0.19148866 -0.11973999  0.3924307   0.94988021],[-6.92362225e-04  2.39552006e-03  1.39571566e-03 -1.00000000e+00],1725718469.7860856,[ 27.8180776  -15.93240765  -0.89112052 -68.92061077]
[-0.19912525 -0.10650295  0.39615169  0.86840685],[-0.20141098 -0.11100295  0.39165169  0.86742866],[-0.19152446 -0.11961848  0.39250047  0.94630681],[-0.00071602  0.00243012  0.00139545 -0.07146797],1725718469.7860856,[  14.20452581  -17.55798604   -0.80080358 -111.49996005]
[-0.19746772 -0.10580316  0.3884907   0.83384755],[-0.20193456 -0.11004302  0.39156447  0.83775803],[-0.19155649 -0.11949612  0.39257025  0.89630681],[-6.40473352e-04  2.44728064e-03  1.39551770e-03 -1.00000000e+00],1725718469.7860856,[ 11.68945836 -18.15748432   0.97542666 -75.03468009]
[-0.20227297 -0.11341699  0.3931095   0.81246849],[-0.20245814 -0.10908308  0.39147726  0.80808741],[-0.19159006 -0.11937335  0.39251138  0.8825722 ],[-0.00067139  0.00245529 -0.00117739 -0.27469217],1725718469.787083,[ 24.20543357  -6.75328128  -0.17873814 -96.20623573]
[-0.19973796 -0.11253592  0.39298908  0.78486398],[-0.2028945  -0.10803592  0.39139004  0.78103483],[-0.19159324 -0.1192536   0.39258117  0.8325722 ],[-6.36519542e-05  2.39501245e-03  1.39576715e-03 -1.00000000e+00],1725718469.787083,[ 16.02343654  -8.97648296  -0.0878231  -52.22501649]
[-0.19883086 -0.10579305  0.38680282  0.75303719],[-0.20333086 -0.10698877  0.39130282  0.75398225],[-0.19162348 -0.11913368  0.39265096  0.8325722 ],[-0.00060484  0.00239841  0.00139583  0.        ],1725718469.787083,[  14.69448281  -18.5591092     1.34965047 -120.26306815]
[-0.19926722 -0.10445393  0.38645381  0.72900797],[-0.20376722 -0.10602883  0.39095381  0.72867495],[-0.19165509 -0.11901062  0.39259209  0.7825722 ],[-6.32266502e-04  2.46120759e-03 -1.17735980e-03 -1.00000000e+00],1725718469.787083,[ 16.0686456  -19.38916253   1.35334656 -58.23880335]
[-0.20109774 -0.10720215  0.39051366  0.70275322],[-0.20420358 -0.10506889  0.39060479  0.70336765],[-0.19168528 -0.11888685  0.39253322  0.7825722 ],[-0.00060379  0.00247537 -0.00117734  0.        ],1725718469.7880836,[  20.3806332   -15.01208684    0.4027878  -117.96333603]
[-0.20566665 -0.10664787  0.3917411   0.68417402],[-0.20463987 -0.10358531  0.38772486  0.68416902],[-0.19170687 -0.11876573  0.39247435  0.7325722 ],[-4.31790115e-04  2.42257396e-03 -1.17746539e-03 -1.00000000e+00],1725718469.7880836,[ 30.96576614 -16.05766438   0.14834917 -48.80361558]
[-0.20057616 -0.10318018  0.38050441  0.66525765],[-0.20507616 -0.10210174  0.38484493  0.6649704 ],[-0.19181305 -0.11864418  0.39241548  0.7325722 ],[-0.0021236   0.00243102 -0.00117748  0.        ],1725718469.7880836,[ 16.26947827 -20.89216991   2.73310748 -97.93505453]
[-0.20761121 -0.09568193  0.3840218   0.63800376],[-0.20542523 -0.10018193  0.3795218   0.63966316],[-0.191843   -0.11851875  0.39235663  0.6825722 ],[-5.98939591e-04  2.50851525e-03 -1.17695441e-03 -1.00000000e+00],1725718469.7880836,[ 35.71277858 -31.20157047   1.79761334 -47.91221447]
[-0.20576866 -0.09559038  0.36969868  0.60985592],[-0.20577431 -0.09826212  0.37419868  0.61435592],[-0.19220353 -0.11834326  0.39229777  0.6825722 ],[-0.00721055  0.00350973 -0.00117715  0.        ],1725718469.7890785,[  27.48400487  -30.02177335    5.11558491 -109.49644818]
[-0.20542456 -0.09952974  0.37096652  0.58864835],[-0.20621067 -0.09599311  0.3705335   0.59166661],[-0.19223433 -0.11818044  0.39223897  0.6325722 ],[-6.15961070e-04  3.25639647e-03 -1.17598004e-03 -1.00000000e+00],1725718469.7890785,[ 27.42002733 -24.03083175   4.66656608 -44.15911726]
[-0.21114702 -0.09512775  0.36547977  0.56539869],[-0.20664702 -0.09372409  0.36686832  0.5689773 ],[-0.1922642  -0.11804919  0.39218016  0.6325722 ],[-0.00059755  0.00262505 -0.00117618  0.        ],1725718469.7890785,[ 41.70569692 -30.86855569   5.92880121 -99.82886883]
[-0.20223424 -0.09122337  0.36470977  0.55515137],[-0.20673424 -0.09189158  0.36416294  0.55065137],[-0.19363309 -0.11787762  0.39212139  0.5825722 ],[-0.02737764  0.00343141 -0.00117544 -1.        ],1725718469.7890785,[ 13.92955014 -35.71874823   6.03772559 -17.11420644]
[-0.20419446 -0.08760741  0.36595756  0.52996573],[-0.20682146 -0.09005906  0.36145756  0.53232545],[-0.19366538 -0.11760891  0.39206262  0.5825722 ],[-0.00064586  0.00537427 -0.00117534  0.        ],1725718469.7900753,[ 22.76460352 -40.08184105   5.72994467 -81.52964402]
[-0.20765374 -0.09002969  0.35963515  0.51706834],[-0.20629788 -0.08770282  0.35831596  0.51487215],[-0.19367735 -0.11710633  0.39200385  0.55695722],[-2.39535431e-04  1.00516028e-02 -1.17552675e-03 -5.12299639e-01],1725718469.7900753,[ 30.56749581 -35.32185733   7.18425072 -46.54887929]
[-0.20127431 -0.08867995  0.35947646  0.50103858],[-0.20577431 -0.08534659  0.35517436  0.49741885],[-0.19377192 -0.11684993  0.39194513  0.55695722],[-0.00189134  0.00512793 -0.00117435  0.        ],1725718469.7900753,[ 13.1318202  -37.34111635   7.14411532 -81.50687998]
[-0.20887808 -0.07552326  0.35535978  0.47459288],[-0.20437808 -0.08002326  0.35159655  0.47909288],[-0.19380477 -0.11651845  0.39188641  0.53133962],[-0.00065696  0.00662964 -0.00117437 -0.5123519 ],1725718469.7910728,[ 34.48312362 -55.95226549   8.07676414 -75.30319056]
[-0.20685301 -0.07919994  0.34351874  0.45626691],[-0.20298184 -0.07469994  0.34801874  0.46076691],[-0.19407354 -0.10716405  0.39182774  0.51756778],[-0.00537536  0.18708797 -0.00117333 -0.27543679],1725718469.7910728,[ 25.80625243 -35.04449188  10.74674827 -83.10313343]
[-0.20338318 -0.06585987  0.34541197  0.44781363],[-0.20062561 -0.06736959  0.34374262  0.44331363],[-0.19408397 -0.10691586  0.39176933  0.49025355],[-2.08659013e-04  4.96381361e-03 -1.16833851e-03 -5.46284746e-01],1725718469.7910728,[ 18.06552538 -56.07075932  10.17894581 -46.96743335]
[-0.20145896 -0.06453924  0.34396651  0.42136035],[-0.19826938 -0.06003924  0.33946651  0.42586035],[-0.19411121 -0.09738826  0.39171084  0.49025355],[-0.00054478  0.19055196 -0.00116971  0.        ],1725718469.7920702,[  14.58871222  -42.18416055   10.51773329 -103.63660091]
[-0.20067501 -0.05314539  0.33193467  0.40963141],[-0.19617501 -0.05375611  0.33553955  0.41364303],[-0.19414298 -0.09666832  0.3916524   0.44025355],[-6.35428737e-04  1.43988041e-02 -1.16888071e-03 -1.00000000e+00],1725718469.7920702,[ 13.33086723 -58.98048245  13.25859221 -22.05111124]
[-0.19858064 -0.04297298  0.33283806  0.39798494],[-0.19408064 -0.04747298  0.33161259  0.40142572],[-0.19417571 -0.08203333  0.39159447  0.44025355],[-0.00065459  0.29269986 -0.00115854  0.        ],1725718469.7920702,[  8.36906574 -50.91990802  12.91672065 -61.38487074]
[-0.18757348 -0.04077271  0.32833191  0.3883282 ],[-0.19207348 -0.03787368  0.32515496  0.38920842],[-0.19421044 -0.07823459  0.39153646  0.44025355],[-0.00069464  0.07597481 -0.00116028  0.        ],1725718469.7920702,[-18.21734098 -49.22051575  13.94983656 -73.17669866]
[-0.18787472 -0.02794452  0.31599662  0.37984882],[-0.19006632 -0.02827438  0.31869733  0.37699112],[-0.19408984 -0.07549456  0.39147874  0.42985766],[ 0.00241213  0.0548005  -0.00115436 -0.20791766],1725718469.7930698,[-12.82354706 -64.21229642  16.72982363 -65.09175815]
[-0.1848606  -0.01941826  0.31088884  0.37363715],[-0.18867009 -0.0152717   0.31381042  0.36913715],[-0.19393947 -0.05043691  0.39142242  0.42985766],[ 0.00300726  0.50115302 -0.00112641  0.        ],1725718469.7930698,[-20.1020207  -38.57468233  17.76830579 -77.19267117]
[-0.18277386 -0.00676901  0.30745488  0.35678318],[-0.18727386 -0.00226901  0.30892351  0.36128318],[-0.1938368  -0.0500423   0.39136698  0.41269022],[ 0.00205344  0.0078923  -0.00110884 -0.3433488 ],1725718469.7930698,[-23.90247644 -58.87755626  18.49471611 -73.64682726]
[-0.18296663  0.01367748  0.30382175  0.35224619],[-0.1835214   0.01562071  0.30569443  0.35342918],[-0.19379099 -0.03564294  0.39131232  0.4005989 ],[ 0.00091621  0.28798713 -0.00109307 -0.24182638],1725718469.7940636,[-22.52899975 -65.96987444  19.28399791 -60.19950778]
[-0.18058197  0.02924557  0.30506466  0.34945546],[-0.17976893  0.03351042  0.30246535  0.34557518],[-0.19372068 -0.00761051  0.39125873  0.4005989 ],[ 0.00140627  0.56064859 -0.00107183  0.        ],1725718469.7940636,[-28.37083223 -46.8631428   18.94962685 -68.8488998 ]
[-0.17974889  0.04148953  0.29430017  0.34113049],[-0.17575469  0.04598953  0.29880017  0.34208453],[-0.1936389  -0.0058803   0.39120466  0.39696947],[ 0.00163559  0.03460428 -0.00108138 -0.07258863],1725718469.7940636,[-29.32582128 -64.03542014  21.42694929 -75.96131244]
[-0.17513632  0.06296864  0.29511536  0.34309387],[-0.17174044  0.05846864  0.29513499  0.33859387],[-0.1935165   0.01880471  0.3911555   0.3814913 ],[ 0.00244797  0.4937001  -0.00098322 -0.30956342],1725718469.7950625,[-40.18190824 -57.83678531  21.12011925 -42.31266528]
[-0.16507238  0.07468418  0.2885295   0.32885789],[-0.16615539  0.07539835  0.28824101  0.33335789],[-0.1921567   0.03125229  0.39110553  0.3814913 ],[ 0.02719602  0.24895154 -0.00099942  0.        ],1725718469.7950625,[-60.03217381 -57.22515594  22.63260902 -76.30938219]
[-0.16117272  0.09500348  0.28359039  0.32726214],[-0.16057034  0.09232806  0.28134704  0.3281219 ],[-0.17828453  0.04262623  0.39106034  0.36601155],[ 0.27744332  0.22747894 -0.00090384 -0.309595  ],1725718469.7950625,[-31.83851866 -70.42036481  23.69272011 -44.48490409]
[-0.15546363  0.09899989  0.27947661  0.32304723],[-0.1553343   0.09957106  0.27497661  0.3255039 ],[-0.17802575  0.07604827  0.39101995  0.36601155],[ 0.00517573  0.66844068 -0.00080769  0.        ],1725718469.7950625,[-49.30005513 -26.07768212  24.58059523 -58.73606637]
[-0.15128486  0.1090604   0.26770054  0.3273859 ],[-0.15009826  0.10681406  0.26860619  0.3228859 ],[-0.17299228  0.07618585  0.39098487  0.36601155],[ 0.1006694   0.00275159 -0.00070162  0.        ],1725718469.7960582,[-45.03208461 -44.81695927  27.24090171 -48.9032962 ]
