target,real_target,js,jv,time,action
[-0.20575073 -0.23101791  0.39680669  1.18344565],[-0.20525073 -0.23151791  0.3971498   1.18333328],[-0.20559974 -0.23247785  0.40893055  1.1837538 ],[-7.44428296e-05 -7.62044884e-03 -1.05845049e-03  1.82846912e-04],0.001199483871459961,[  412.56784707  -372.58507686   111.53504321 -1000.        ]
[-0.20575073 -0.23179213  0.39756245  1.18300345],[-0.20525073 -0.23143056  0.39706245  1.18333328],[-0.20559974 -0.23282699  0.40893055  1.18384967],[ 8.33805878e-04 -6.97616977e-03 -1.15035555e-03  4.71255327e-05],0.05129241943359375,[ 400.75493601 -398.47758915  408.13043813 -404.18967961]
[-0.20530126 -0.23093056  0.39747509  1.18324472],[-0.20525073 -0.23143056  0.39697509  1.18333328],[-0.20559974 -0.23300156  0.40875624  1.1837538 ],[ 0.00072924 -0.00442922 -0.001228   -0.00014301],0.10123181343078613,[-408.23699654 -408.30441812  410.90871479 -397.89453654]
[-0.20545484 -0.23097723  0.39671595  1.18357506],[-0.20525073 -0.23143056  0.39688772  1.18333328],[-0.20559974 -0.233176    0.40893068  1.1833703 ],[ 0.00048945 -0.00192474 -0.00100648 -0.02032597],0.15139269828796387,[-398.41996687 -402.96743505  416.21412841  405.09926189]
[-0.20562871 -0.23088262  0.39635214  1.18283328],[-0.20525073 -0.23134334  0.3968005   1.18333328],[-0.20559974 -0.23300156  0.40875624  1.18183632],[-0.00247666 -0.0002078  -0.00070244 -0.02304417],0.20150375366210938,[ 402.75401207 -401.63867819  413.21537642  406.04385863]
[-0.20575073 -0.23146794  0.3962163   1.18383328],[-0.20525073 -0.23125613  0.39671329  1.18333328],[-0.20559974 -0.23300156  0.40875624  1.18087759],[-6.44849019e-03  6.77931187e-05 -7.02279651e-04 -1.02309349e-02],0.25117969512939453,[ 402.58587851 -398.01235366  413.12190547  415.18901216]
[-0.20540928 -0.23075979  0.39661898  1.18341232],[-0.20525073 -0.23125613  0.39671329  1.18333328],[-0.2054253  -0.23335044  0.40893068  1.18087759],[-0.00451759  0.00045238 -0.00071105 -0.00338132],0.3010728359222412,[-402.58620601 -408.94970555  411.33390814  398.32066806]
[-0.20528447 -0.23140825  0.39621329  1.18366492],[-0.20525073 -0.23125613  0.39671329  1.18333328],[-0.2054253  -0.233176    0.40875624  1.18068584],[ 0.00533797  0.00154411 -0.00064512 -0.01074897],0.35128307342529297,[-402.57716092 -396.81717279  413.53365623  404.5999949 ]
[-0.20478806 -0.23075613  0.39709695  1.18286709],[-0.20525073 -0.23125613  0.39688787  1.18246055],[-0.2054253  -0.233176    0.40875624  1.17953535],[ 0.01096337  0.00155725 -0.00059833 -0.023928  ],0.4010770320892334,[-410.63534783 -406.34305649  407.87367576  404.13442136]
[-0.20475073 -0.2312441   0.39691644  1.18108782],[-0.20525073 -0.23125613  0.39706245  1.18158782],[-0.20559974 -0.23300156  0.40875624  1.17780962],[ 0.00138091  0.00117412 -0.00058026 -0.03013364],0.4512295722961426,[-407.42285073 -397.77238278  412.61313869  401.26428412]
[-0.20529859 -0.23080002  0.39689435  1.17885057],[-0.20533802 -0.23090705  0.39706245  1.17896986],[-0.20559974 -0.233176    0.40893068  1.1760839 ],[-0.01494152  0.0012153  -0.00038175 -0.02351932],0.5023894309997559,[-393.28455009 -406.09697068  412.87824109  397.80270846]
[-0.20578548 -0.23005798  0.39735196  1.1768519 ],[-0.20542531 -0.23055798  0.39706245  1.1763519 ],[-0.20559974 -0.233176    0.40893068  1.17550865],[-0.01307232  0.00122915 -0.00032671 -0.01612111],0.5523443222045898,[ 408.2349503  -407.58216629  409.6183288   390.70767972]
[-0.20601252 -0.22982979  0.39721344  1.17117278],[-0.20551252 -0.22994718  0.39671344  1.17111593],[-0.20559974 -0.233176    0.40893068  1.17502928],[ 0.0008089   0.00146679 -0.00039899 -0.01143573],0.6010549068450928,[ 405.47100856 -404.71900828  412.31067013 -438.32655236]
[-0.20609051 -0.22889803  0.39686442  1.16637996],[-0.20559974 -0.22933638  0.39636442  1.16587996],[-0.20559974 -0.23300156  0.40893068  1.17416642],[ 0.01215727  0.0016374  -0.00050183 -0.01369374],0.6514182090759277,[ 403.6241035  -408.65959611  413.56144062 -431.40287524]
[-0.20603945 -0.22818747  0.39666894  1.15975821],[-0.20577431 -0.22820187  0.39645164  1.15977126],[-0.20559974 -0.23300156  0.40893068  1.17330356],[ 0.00556793  0.00129982 -0.00046369 -0.01750291],0.7018256187438965,[ 401.43231662 -409.08876329  413.09915981 -447.08489082]
[-0.20644887 -0.22656737  0.39616252  1.1540417 ],[-0.20594887 -0.22706737  0.39653885  1.15366256],[-0.20559974 -0.23300156  0.40875624  1.17244069],[-0.00542244  0.00118617 -0.00036809 -0.01700633],0.7513937950134277,[ 410.38954306 -416.18076937  414.01593713 -443.17506685]
[-0.20578544 -0.22595243  0.39730065  1.14279211],[-0.20594887 -0.22575829  0.39680065  1.14319062],[-0.20559974 -0.233176    0.40893068  1.17176957],[-0.00967621  0.00135535 -0.00023957 -0.01099522],0.8012058734893799,[ 390.97300039 -411.97242516  407.50157391 -488.5380194 ]
[-0.20564033 -0.22394922  0.39661507  1.13321868],[-0.20594887 -0.22444922  0.39706245  1.13271868],[-0.20559974 -0.23300156  0.40893068  1.17148195],[-0.00427057  0.00150433 -0.00028634 -0.00332952],0.8510801792144775,[ 398.02552472 -420.05426993  415.25262402 -484.13227333]
[-0.20641845 -0.22298935  0.39731133  1.12349203],[-0.20612338 -0.22348935  0.39706245  1.12399203],[-0.20559974 -0.23300156  0.40893068  1.17157783],[ 0.00456239  0.00165938 -0.00037878 -0.00318055],0.9012618064880371,[ 415.77002411 -415.78676244  408.63661167 -492.8006121 ]
[-0.20636407 -0.22204934  0.39730436  1.11544487],[-0.20629789 -0.22252949  0.39706245  1.11526537],[-0.20559974 -0.23282699  0.40893055  1.17138608],[ 0.00728922  0.00139904 -0.00044124 -0.00565685],0.9510977268218994,[ 403.00557398 -415.38256046  411.65547875 -482.95843253]
[-0.20648737 -0.22198226  0.39638787  1.10557535],[-0.20664696 -0.22148226  0.39688787  1.10566604],[-0.20559974 -0.23282699  0.40893055  1.17100258],[ 0.00052566  0.00114545 -0.00033006 -0.00624893],1.0011498928070068,[ 406.28847748 -411.24825879  416.46891255 -499.11578758]
[-0.2068891  -0.22093504  0.39693183  1.0958422 ],[-0.20699604 -0.22043504  0.39671329  1.09606671],[-0.20559974 -0.23300156  0.40893068  1.17061909],[-0.00705735  0.00100012 -0.00016504 -0.0031472 ],1.053692102432251,[ 412.47518224 -419.41683626  409.6691173  -502.83606106]
[-0.20726689 -0.21952306  0.39621342  1.08680082],[-0.20717061 -0.21938788  0.39671342  1.08646744],[-0.20559974 -0.23300156  0.40910512  1.17061909],[-4.49178787e-03  1.15034409e-03 -8.89865760e-05 -2.84552878e-04],1.1012649536132812,[ 414.00493187 -421.97298595  416.71662958 -505.19882601]
[-0.20722991 -0.21810916  0.39621355  1.076811  ],[-0.20734517 -0.21834072  0.39671355  1.07686818],[-0.20559974 -0.23282699  0.40893055  1.17061909],[ 0.00267514  0.00160063 -0.0001322   0.00020433],1.1534912586212158,[ 407.5957779  -422.17359128  411.9685597  -516.83278018]
[-0.20748145 -0.21720602  0.396388    1.06764152],[-0.20751968 -0.21746808  0.396888    1.06814152],[-0.20559974 -0.23265242  0.40893068  1.17052321],[ 0.00485985  0.00161274 -0.00011844 -0.00545985],1.2013449668884277,[ 413.18319866 -419.8295233   411.79591394 -514.9560636 ]
[-0.20747713 -0.21609543  0.39718978  1.05891486],[-0.20769419 -0.21659543  0.39706245  1.05941486],[-0.20559974 -0.23265242  0.40893068  1.16994797],[ 0.0014378   0.00144096 -0.00015156 -0.01102025],1.2512304782867432,[ 409.32224064 -423.23830843  408.30607467 -512.57644978]
[-0.20828147 -0.21563867  0.39682226  1.05106088],[-0.20778147 -0.21580999  0.39697522  1.05156088],[-0.20559974 -0.23265242  0.40910512  1.16898923],[-0.00369534  0.00173754 -0.00021659 -0.01540919],1.3011648654937744,[ 425.47855311 -419.76161392  414.60461792 -507.23090559]
[-0.20836875 -0.21530662  0.3963979   1.04420689],[-0.20786875 -0.21502456  0.39688799  1.04370689],[-0.20559974 -0.23265242  0.40910512  1.16831812],[-0.00493847  0.00226312 -0.00026688 -0.01617102],1.351334810256958,[ 415.15486156 -419.34340965  414.52515519 -505.33568949]
[-0.20808212 -0.21386986  0.39638785  1.03239845],[-0.20821783 -0.21354098  0.39688785  1.03236228],[-0.20559974 -0.23247785  0.40910525  1.16745525],[-0.00139009  0.00404676 -0.00022713 -0.01920113],1.4010753631591797,[ 408.1106097  -426.20134676  412.76101956 -544.14747163]
[-0.2083314  -0.2119122   0.39693206  1.02151767],[-0.2085669  -0.2120574   0.39688772  1.02101767],[-0.20559974 -0.23195427  0.40910525  1.16620889],[ 0.00289804  0.00810384 -0.00025633 -0.02455702],1.451035737991333,[ 417.39914326 -428.66948655  409.84182217 -539.78654047]
[-0.20878055 -0.21088908  0.39715801  1.01408584],[-0.2087414  -0.21101031  0.39671329  1.01403636],[-0.20559974 -0.2314307   0.40910525  1.16477079],[ 0.00327052  0.01215274 -0.00040385 -0.0307576 ],1.501180648803711,[ 422.64386252 -423.54683734  410.97927909 -517.29851694]
[-0.20879544 -0.21033728  0.39689877  1.00722978],[-0.2089159  -0.20996322  0.39653885  1.00705504],[-0.20559974 -0.23073255  0.40910512  1.16285331],[-0.00103835  0.01305468 -0.00051229 -0.03882559],1.5513360500335693,[ 416.20203593 -419.51488866  413.31633902 -512.38187913]
[-0.20893375 -0.20967674  0.39659394  0.99983399],[-0.20900319 -0.20917778  0.39662607  1.0000737 ],[-0.20559974 -0.23020897  0.40910512  1.1599771 ],[-0.00387944  0.01280629 -0.00061451 -0.04874171],1.6009998321533203,[ 418.74555085 -421.35616466  413.81705358 -511.70861283]
[-0.20896747 -0.20853072  0.39637485  0.99359236],[-0.20909047 -0.20839235  0.39671329  0.99309236],[-0.20559974 -0.22951082  0.40910525  1.15700501],[-0.00361064  0.01394783 -0.00059561 -0.05531129],1.651606559753418,[ 417.34454328 -423.67452409  413.66957176 -504.59310473]
[-0.20885226 -0.20751148  0.39672105  0.98469616],[-0.20935226 -0.20725784  0.39671329  0.98436573],[-0.20577431 -0.22863811  0.40910512  1.15403292],[-0.00263987  0.01564038 -0.0005821  -0.0599745 ],1.7011268138885498,[ 411.04143362 -422.00811586  410.90036607 -526.13717439]
[-0.20911405 -0.20662334  0.39631652  0.97610352],[-0.20961405 -0.20612334  0.39671329  0.9756391 ],[-0.20577431 -0.22793996  0.40910525  1.15086909],[-0.00117408  0.01672562 -0.00068072 -0.06326647],1.7512741088867188,[ 420.62716256 -422.45961213  414.52230897 -525.38440024]
[-0.21020134 -0.20528059  0.39649842  0.96869829],[-0.20970134 -0.20516347  0.39671342  0.96865776],[-0.20577431 -0.22724194  0.40910525  1.14741763],[ 6.24851973e-05  1.77374850e-02 -7.95471653e-04 -6.80787864e-02],1.8012118339538574,[ 438.45092079 -425.84007672  411.82760465 -517.03604403]
[-0.21019861 -0.20392342  0.39685986  0.96191282],[-0.20978862 -0.20420361  0.39671355  0.96167642],[-0.20577431 -0.2265438   0.40910512  1.14434967],[-0.00061529  0.01857696 -0.00084105 -0.07242393],1.8515450954437256,[ 422.08051527 -426.58502065  410.69624697 -517.24103195]
[-0.20946313 -0.20347652  0.39656893  0.95432243],[-0.20996313 -0.20315638  0.3966262   0.95382243],[-0.20594888 -0.22549651  0.40910512  1.13965185],[-0.00246506  0.01936409 -0.0008923  -0.07789028],1.9010899066925049,[ 403.91505946 -418.40809221  413.78253585 -512.91268172]
[-0.21035737 -0.2018389   0.39641477  0.94546845],[-0.21013764 -0.20210916  0.39653885  0.94596845],[-0.20594888 -0.22479836  0.40927969  1.13562515],[-0.00456232  0.01947905 -0.0008791  -0.07992648],1.951141357421875,[ 435.46153941 -428.61133923  414.2732143  -528.86934831]
[-0.2105688  -0.201253    0.39603872  0.93878411],[-0.2103122  -0.20132366  0.39653872  0.93898714],[-0.20594888 -0.22392577  0.40910512  1.13159845],[-0.00475866  0.01979752 -0.00085243 -0.07946502],2.001255512237549,[ 426.27224474 -420.94804757  413.92953039 -515.01066521]
[-0.21033077 -0.20065399  0.39688909  0.93150582],[-0.21048677 -0.20053816  0.39653859  0.93200582],[-0.20612345 -0.22287849  0.40910512  1.12738001],[-0.00266131  0.02047005 -0.00098328 -0.07846913],2.0510828495025635,[ 414.84507519 -419.52765547  408.57305134 -519.35595654]
[-0.21019252 -0.19999107  0.39636266  0.92289695],[-0.21066128 -0.19949107  0.39662594  0.92240649],[-0.20612345 -0.22218034  0.40910525  1.12431204],[-0.00101436  0.02095691 -0.0008847  -0.07855308],2.101126194000244,[ 418.27084079 -421.97735268  414.99840445 -539.49395166]
[-0.21067802 -0.19812568  0.39710599  0.91330717],[-0.21083578 -0.19844398  0.39671329  0.91280717],[-0.20612345 -0.22148219  0.40927956  1.12028534],[-0.00115015  0.02056451 -0.00092241 -0.07946548],2.1523523330688477,[ 430.05821481 -430.37865489  409.73585167 -542.43065037]
[-0.2112577  -0.19777926  0.39688523  0.90418245],[-0.21101028 -0.19739676  0.39671329  0.90408054],[-0.20612345 -0.22060961  0.40927969  1.11635452],[-0.00355785  0.01947825 -0.00097838 -0.07982264],2.2029528617858887,[ 434.37000657 -419.66489458  413.3407734  -542.44330131]
[-0.21168478 -0.19637042  0.39621329  0.89542083],[-0.21118478 -0.19634955  0.39671329  0.89535391],[-0.20629789 -0.21973702  0.40927982  1.11213607],[-0.00402645  0.01882089 -0.00096008 -0.08046401],2.252088785171509,[ 430.72569941 -426.59271514  415.94569382 -540.15981293]
[-0.21112988 -0.19544529  0.39612607  0.8888726 ],[-0.21135936 -0.19556418  0.39662607  0.8883726 ],[-0.20629789 -0.21903887  0.40927969  1.1080135 ],[-0.00266968  0.01877135 -0.00090131 -0.08260899],2.3013226985931396,[ 415.83313078 -424.95911406  413.52668317 -526.55003369]
[-0.21161246 -0.19489388  0.39687143  0.88092381],[-0.21153393 -0.19477881  0.39653885  0.88139129],[-0.20629789 -0.21834073  0.40927982  1.10369918],[-0.00135495  0.0188561  -0.00089635 -0.08684078],2.3513731956481934,[ 433.81443513 -422.56406772  409.21586389 -536.82895084]
[-0.21217639 -0.19431881  0.39619007  0.87109996],[-0.21170843 -0.19381881  0.39662607  0.87091929],[-0.20647246 -0.21729344  0.40927956  1.09833024],[-0.00300065  0.01843654 -0.00098978 -0.09034937],2.401043653488159,[ 434.36240184 -420.13379648  416.00724763 -544.79959893]
[-0.21238293 -0.19272803  0.39628678  0.8604423 ],[-0.21188293 -0.1928588   0.39671329  0.86044729],[-0.20647246 -0.21659529  0.40927969  1.09344068],[-0.00392928  0.01736679 -0.00106502 -0.09181866],2.4513204097747803,[ 432.6517839  -429.23728926  412.57917601 -556.87583262]
[-0.21248723 -0.19237647  0.39616026  0.85222066],[-0.2120575  -0.19189887  0.39662607  0.85172066],[-0.20647246 -0.21624628  0.40945426  1.0897016 ],[-0.0040366   0.01652974 -0.0010545  -0.09442596],2.501284122467041,[ 431.63901222 -423.8852141   414.58388417 -550.11840794]
[-0.21273207 -0.19097383  0.39700074  0.84310395],[-0.21223207 -0.19093893  0.39653885  0.84299403],[-0.20664703 -0.21554814  0.40945426  1.08481204],[-0.00160722  0.01591715 -0.00106461 -0.09978935],2.552192211151123,[ 431.47959541 -428.81248439  408.85290054 -550.44408636]
[-0.21190658 -0.19065364  0.39679959  0.83516139],[-0.21240658 -0.19015364  0.39645164  0.83514005],[-0.20664703 -0.21502456  0.40945426  1.07963485],[-0.00210471  0.01579438 -0.00107525 -0.104922  ],2.603355884552002,[ 413.91040769 -423.14739719  413.51640278 -541.59435498]
[-0.21272779 -0.18927246  0.39686442  0.82699458],[-0.21258108 -0.18936834  0.39636442  0.82728606],[-0.20682146 -0.21432654  0.40927982  1.0739783 ],[-0.0057962   0.01543603 -0.00121595 -0.10795483],2.651256561279297,[ 439.23709947 -429.16396492  411.39037172 -541.06362968]
[-0.21314769 -0.1885883   0.39670654  0.81805944],[-0.21275565 -0.18849561  0.39636442  0.81855944],[-0.20699603 -0.21380283  0.40945426  1.06736301],[-0.00565047  0.01443016 -0.00135346 -0.1111186 ],2.7011008262634277,[ 434.43983659 -426.17979061  414.1713891  -540.89074364]
[-0.21243022 -0.18730131  0.39644226  0.80997349],[-0.21293022 -0.18762289  0.39636442  0.80983281],[-0.2071706  -0.21327926  0.40945439  1.06170645],[-0.0058777   0.01383262 -0.00138956 -0.11346129],2.751291513442993,[ 412.91201604 -430.57062815  414.14488236 -542.87223911]
[-0.21343512 -0.18690304  0.39586442  0.79946177],[-0.21310472 -0.18675024  0.39636442  0.79936081],[-0.20734517 -0.21275555  0.40927969  1.05595402],[-0.0059153   0.01354008 -0.00140836 -0.11596115],2.801356554031372,[ 442.9096745  -425.09789754  415.14228416 -561.5611668 ]
[-0.21309509 -0.18618332  0.39600057  0.78838881],[-0.21327923 -0.18587759  0.39636442  0.78888881],[-0.20769418 -0.2122321   0.40945439  1.05106446],[-0.00674706  0.01332688 -0.00130492 -0.11835798],2.851668357849121,[ 416.6648336  -427.22954534  413.61897407 -574.6215876 ]
[-0.21304102 -0.18450488  0.39633064  0.77442616],[-0.21354102 -0.18500488  0.39636429  0.77492616],[-0.20786875 -0.21188296  0.40945426  1.0439698 ],[-0.00677437  0.01311907 -0.00143364 -0.12063178],2.9012598991394043,[ 422.43031644 -435.37519241  411.70902791 -582.84778788]
[-0.21391595 -0.18430709  0.39686415  0.7614635 ],[-0.2138028  -0.18413216  0.39636415  0.7609635 ],[-0.20804319 -0.21153395  0.40945413  1.03908024],[-0.00607078  0.01294276 -0.0014395  -0.12278329],2.951347827911377,[ 439.87541167 -426.31714239  410.30384396 -595.32001581]
[-0.21444906 -0.18390861  0.39595382  0.74837354],[-0.21406459 -0.18343414  0.39601515  0.74787354],[-0.20821776 -0.21118481  0.40945426  1.03284844],[-0.00623185  0.01292713 -0.00149113 -0.12471774],3.001302719116211,[ 436.53673451 -427.57300555  417.40085936 -590.24455259]
[-0.21417904 -0.18323613  0.39602284  0.73514338],[-0.21432638 -0.18273613  0.39566615  0.73478359],[-0.20839233 -0.21066124  0.40945413  1.02652077],[-0.00651596  0.01325973 -0.00160551 -0.12834719],3.051439046859741,[ 422.26217011 -428.32091042  413.13504455 -594.00613472]
[-0.21493792 -0.18211047  0.39607894  0.71816102],[-0.21485002 -0.18203791  0.39557894  0.71820298],[-0.2085669  -0.21031209  0.40945426  1.0198096 ],[-0.00606289  0.01368053 -0.00163942 -0.13560679],3.101693868637085,[ 440.62327181 -432.8731777   413.13557886 -622.7226886 ]
[-0.21587367 -0.18103469  0.39576502  0.70180051],[-0.21537367 -0.1813397   0.39549172  0.70162237],[-0.20891591 -0.20961408  0.40945439  1.01261907],[-0.00634169  0.01431572 -0.00161205 -0.14580085],3.151240110397339,[ 443.5933234  -430.85202444  415.03476885 -619.59905854]
[-0.21613546 -0.18064829  0.39571293  0.67581507],[-0.21563546 -0.18037976  0.39540435  0.67631507],[-0.20909048 -0.20909037  0.40945413  1.00322344],[-0.00912344  0.01534565 -0.00153939 -0.1593428 ],3.2012431621551514,[ 436.53373493 -427.6160012   413.96320602 -679.83286498]
[-0.21639725 -0.17942726  0.39481699  0.65050777],[-0.21589725 -0.17941983  0.39531699  0.65100777],[-0.20943948 -0.20839236  0.40945426  0.99469067],[-0.0083815   0.01576518 -0.00156497 -0.17144376],3.2511367797851562,[ 433.48005148 -432.11154512  418.47604917 -689.51315484]
[-0.21644928 -0.17795989  0.39581699  0.62915522],[-0.21615904 -0.17845989  0.39531699  0.62919116],[-0.20961405 -0.20804321  0.40962883  0.98529503],[-0.00893056  0.01603853 -0.00176336 -0.19693527],3.3062968254089355,[ 432.33735837 -436.81060697  410.27569925 -661.76833029]
[-0.21692083 -0.17733696  0.39528607  0.60787455],[-0.21642083 -0.17749995  0.39531699  0.60737455],[-0.20996306 -0.2073452   0.40945426  0.97350256],[-0.00961251  0.01656987 -0.00235001 -0.24207117],3.3511886596679688,[ 436.62768906 -429.55651624  415.69480328 -649.23137129]
[-0.21666773 -0.17730187  0.39490435  0.58256444],[-0.2167699  -0.17680187  0.39540435  0.58206728],[-0.21013763 -0.20699606  0.40945413  0.96247707],[-0.01160426  0.01808716 -0.00483608 -0.27257971],3.401252269744873,[ 426.23290768 -427.80489254  416.18445751 -689.94867747]
[-0.21661898 -0.17575725  0.39528609  0.55659294],[-0.21711898 -0.17610379  0.39549172  0.55676001],[-0.21066121 -0.20612348  0.40875624  0.94790425],[-0.02030051  0.02041594 -0.00980711 -0.29333155],3.4511256217956543,[ 421.20046315 -434.4091965   408.84505846 -675.44642719]
[-0.21787151 -0.17537377  0.39507894  0.5277254 ],[-0.21764255 -0.17496928  0.39557894  0.52796209],[-0.21135936 -0.20542533  0.40858154  0.93227682],[-0.02453631  0.02163254 -0.00889672 -0.32571179],3.501271963119507,[ 440.87976796 -428.15849382  413.64163551 -694.95647197]
