target,real_target,js,jv,time,action
[-0.18457652  0.04316721  0.14118319  0.5166849 ],[-0.18430683  0.04337157  0.14093518  0.51661748],[-0.18448127  0.04223694  0.15079647  0.52203284],[ 2.87964387e-04  3.28930645e-04 -1.72094968e-04 -3.55590969e-05],0.0014896392822265625,[  389.00092884  -204.02050408    95.29433181 -1000.        ]
[-0.18457413  0.04278436  0.14100685  0.51644594],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18448127  0.04223694  0.15079647  0.52203284],[-0.0003921   0.00032817 -0.00017373 -0.00024472],0.051489830017089844,[ 400.42850057 -398.24420178  410.54502673 -404.46619843]
[-0.18480683  0.04278436  0.1405224   0.51620777],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18448127  0.04241137  0.15062203  0.52203284],[-0.00057897  0.00034222 -0.00014635 -0.00217548],0.10119080543518066,[ 405.11965563 -399.3235703   411.42774955 -404.57972057]
[-0.1842041   0.04282243  0.141062    0.51611748],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18430683  0.04223694  0.15062203  0.52136172],[ 0.00060036  0.00034682 -0.00020236 -0.01890878],0.15129542350769043,[-406.94064293 -401.86392637  407.24840396 -398.55635751]
[-0.18395587  0.04288565  0.1405683   0.51711748],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18430683  0.04223694  0.15062203  0.52011536],[-0.00136632  0.00045137 -0.00034953 -0.02007656],0.20124411582946777,[-405.47967277 -401.02909988  412.16873482 -385.77442625]
[-0.18480683  0.04378436  0.1415224   0.51640469],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18430683  0.0420625   0.15079647  0.51944424],[-0.00392547  0.00037455 -0.00052381 -0.00911536],0.25139832496643066,[ 415.26944018 -408.17786581  405.93398876 -401.81147917]
[-0.18442383  0.04358844  0.14087169  0.51642831],[-0.18439405  0.04328422  0.14110975  0.51661748],[-0.18448127  0.04223694  0.15062203  0.51954012],[-0.00124754  0.00073279 -0.00066399 -0.00375101],0.30129051208496094,[-408.65202442 -399.12345848  411.79067164 -402.06168798]
[-0.18478074  0.04331185  0.14139535  0.51673757],[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18448127  0.04223694  0.15062203  0.51915662],[ 0.004569    0.00132211 -0.00063538 -0.01103448],0.35126304626464844,[ 406.85303667 -399.41095128  406.98333486 -396.36019864]
[-0.18461313  0.04303973  0.14166668  0.51611748],[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18448127  0.04223694  0.15062203  0.51800614],[ 0.00579314  0.00112092 -0.00077186 -0.02148242],0.40145206451416016,[ 398.14422767 -399.16573418  407.7929914  -397.23160694]
[-0.18398126  0.04278409  0.14076667  0.51685371],[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18430683  0.04223694  0.15062203  0.51675978],[-0.00118169  0.00142288 -0.00055641 -0.02519274],0.45189332962036133,[-408.49207671 -399.00922331  413.71097584  413.92510312]
[-0.18404572  0.04378409  0.1416971   0.51493214],[-0.18448126  0.04328409  0.1411971   0.51487213],[-0.18430683  0.04241164  0.15062177  0.51541754],[-0.0076436   0.00228022 -0.00013622 -0.01991122],0.5014946460723877,[-400.33841357 -406.33743733  404.93757409 -404.29804419]
[-0.18446985  0.04278409  0.14120377  0.51360164],[-0.18448126  0.04328409  0.1411971   0.51312679],[-0.18430683  0.04241164  0.15062177  0.5148423 ],[-5.61837856e-03  2.35930761e-03 -9.42050323e-05 -1.10355580e-02],0.551555871963501,[ 407.17963108 -394.35645279  411.53140363 -405.90713709]
[-0.18409401  0.04369687  0.14161189  0.51100881],[-0.18448126  0.04319687  0.1411971   0.51050881],[-0.18430683  0.04241164  0.15062177  0.51465055],[ 0.00164522  0.00232921 -0.00026131 -0.00825955],0.6011373996734619,[-406.70395007 -406.77652878  407.26151442 -418.62848293]
