target,real_target,js,jv,time,action
[-0.11298543 -0.31409866  0.3941092   0.60448265],[-0.11161379 -0.31337383  0.37158051  0.63355452],[-0.1115265  -0.31346112  0.37158051  0.63355452],[0. 0. 0. 0.],1727361487.4726005,[ -0.97162227  -1.16196336  -4.46212759 -38.89960479]
[-0.11323745 -0.3140187   0.39256606  0.60458857],[-0.11170107 -0.31328654  0.37158051  0.63355452],[-0.11136847 -0.3133369   0.37164978  0.63355452],[0.0031606  0.00248452 0.00138546 0.        ],1727361487.474125,[  4.0675527    0.906333    -4.58532731 -38.18420311]
[-0.11353739 -0.31410572  0.39074457  0.6046824 ],[-0.11161379 -0.31337383  0.37158051  0.63355452],[-0.11140165 -0.31341489  0.37171905  0.63355452],[-0.00066355 -0.00155992  0.00138535  0.        ],1727361487.4756415,[  4.56868824   0.91318829  -4.16655045 -38.06615056]
[-0.11345539 -0.31415194  0.38872978  0.6047815 ],[-0.1115265  -0.31346112  0.37158051  0.63355452],[-0.11143479 -0.31349289  0.37178834  0.63355452],[-0.0006627  -0.00155994  0.00138581  0.        ],1727361487.4772007,[  4.17773882   0.86537744  -3.70610706 -37.93280387]
[-0.11352848 -0.31403378  0.3862794   0.6048799 ],[-0.1115265  -0.31346112  0.37158051  0.63355452],[-0.11146796 -0.31357089  0.37185766  0.63355452],[-0.0006634  -0.00155996  0.00138626  0.        ],1727361487.478705,[  4.32218773   0.58289016  -3.14738643 -37.80323723]
[-0.11348955 -0.3138841   0.38388285  0.60499376],[-0.1115265  -0.31346112  0.37158051  0.63355452],[-0.11150112 -0.31364889  0.37192699  0.63355452],[-0.00066317 -0.00155993  0.00138675  0.        ],1727361487.48017,[  4.1274649    0.27786374  -2.60542923 -37.6455713 ]
[-0.11320598 -0.31388173  0.37982127  0.60502356],[-0.111352   -0.3135484   0.37149329  0.63355452],[-0.11153429 -0.31372688  0.37199635  0.63355452],[-0.00066352 -0.0015599   0.00138716  0.        ],1727361487.4816763,[  3.369146     0.19284886  -1.67984281 -37.6466131 ]
[-0.11293081 -0.31380138  0.37568018  0.6048245 ],[-0.1111775  -0.31363568  0.37140608  0.63355452],[-0.11156753 -0.31380488  0.37206574  0.63355452],[-0.00066469 -0.00155991  0.00138773  0.        ],1727361487.4832196,[ 2.72788033e+00 -2.73205206e-02 -7.52736861e-01 -3.80191948e+01]
[-0.11306228 -0.3135636   0.37462324  0.6025226 ],[-0.11126471 -0.31354846  0.37149329  0.63180918],[-0.1116008  -0.31368066  0.37213515  0.63355452],[-0.00066555  0.00248442  0.00138819  0.        ],1727361487.484709,[  3.09314088  -0.17083235  -0.53602689 -42.06700123]
[-0.11310529 -0.31341526  0.3728335   0.59998727],[-0.11135193 -0.31346124  0.37158051  0.63006383],[-0.11163406 -0.31355644  0.37220456  0.63355452],[-0.0006651   0.00248436  0.00138831  0.        ],1727361487.4862802,[  3.07869687  -0.18979892  -0.11962569 -45.52574747]
[-0.11304706 -0.31361783  0.36918455  0.5973652 ],[-0.11135193 -0.31354846  0.37158051  0.62831852],[-0.11166732 -0.31343222  0.37227399  0.63355452],[-0.00066513  0.00248427  0.00138849  0.        ],1727361487.4877489,[  2.84764076   0.29186128   0.71715623 -49.02853814]
[-0.11269666 -0.3135591   0.36793464  0.59444684],[-0.11135193 -0.31363568  0.37158051  0.6265732 ],[-0.11170059 -0.31351022  0.37221551  0.63355452],[-0.00066545 -0.00155984 -0.00116945  0.        ],1727361487.4892297,[ 1.93079409e+00  4.49195450e-02  9.53797423e-01 -5.30229749e+01]
[-0.11225791 -0.31335753  0.36500713  0.58832884],[-0.11143922 -0.31363575  0.37149329  0.62220991],[-0.11173391 -0.31358821  0.37215704  0.63355452],[-0.0006665  -0.00155982 -0.00116939  0.        ],1727361487.490711,[  0.90935831  -0.34458278   1.60190127 -62.63450702]
[-0.111701   -0.3131283   0.36138806  0.5817756 ],[-0.1115265  -0.31363583  0.37140608  0.61784661],[-0.11176729 -0.31346399  0.37209858  0.63355452],[-0.00066746  0.00248434 -0.00116925  0.        ],1727361487.4922962,[ -0.3708578   -0.45815712   2.3922061  -71.4937637 ]
[-0.10844129 -0.31235087  0.37558195  0.5739165 ],[-0.11161379 -0.31363575  0.37158065  0.61261058],[-0.11160893 -0.31333978  0.37204013  0.6265636 ],[ 0.00316703  0.00248428 -0.00116906 -0.13981832],1727361487.493818,[ -7.84108309  -1.39900089  -0.92286479 -69.91092852]
[-0.11187404 -0.31187645  0.36708394  0.56968445],[-0.11170107 -0.31363568  0.37175521  0.60737455],[-0.11145721 -0.31321555  0.37210953  0.6212646 ],[ 0.00303452  0.00248451  0.00138811 -0.1059801 ],1727361487.495321,[  2.28204796  -1.81782091   1.19198807 -67.57366124]
[-0.11352    -0.3123121   0.35399297  0.56505674],[-0.11178836 -0.31363562  0.37166786  0.60213858],[-0.11149051 -0.31309132  0.37205107  0.6193503 ],[-0.00066601  0.00248459 -0.00116931 -0.03828594],1727361487.4968514,[  4.87635698  -0.94831115   4.10414811 -72.96993285]
[-0.11005725 -0.31176516  0.36943325  0.5572102 ],[-0.11187565 -0.31363556  0.37158051  0.59690261],[-0.11152362 -0.31296711  0.37199264  0.60897269],[-0.00066216  0.00248415 -0.0011685  -0.20755226],1727361487.4983594,[ -4.44067235  -1.6471825    0.40683541 -67.1115861 ]
[-0.11587916 -0.31228483  0.3385676   0.5486763 ],[-0.11196293 -0.31363562  0.37149329  0.58643064],[-0.11136794 -0.3128429   0.37193417  0.60874976],[ 0.00311347  0.00248432 -0.00116939 -0.00445854],1727361487.4998913,[ 11.78121175  -0.64434012   7.65118144 -83.28621006]
[-0.10550827 -0.31354517  0.3950473   0.5307694 ],[-0.11205021 -0.31363568  0.37140608  0.57595867],[-0.11139947 -0.31271871  0.37187587  0.58144482],[-0.00063061  0.00248385 -0.00116601 -0.54609871],1727361487.5013652,[-16.40702074   1.28944292  -5.66761771 -62.38052608]
[-0.12491833 -0.31243986  0.31454343  0.5317828 ],[-0.11222472 -0.31372297  0.37114429  0.56548667],[-0.11127487 -0.3127967   0.37194508  0.58144482],[ 0.00249199 -0.00155981  0.00138407  0.        ],1727361487.5028307,[ 36.20368409  -0.64067902  13.44054342 -65.0673957 ]
[-0.11621378 -0.3137505   0.30366224  0.5188521 ],[-0.11239922 -0.31381026  0.37088251  0.55501467],[-0.11165524 -0.31267251  0.37188758  0.58144482],[-0.0076074   0.00248381 -0.00114991  0.        ],1727361487.5043652,[  5.95150698   1.62865377  15.11867793 -88.82911652]
[-0.10817105 -0.31378886  0.41912255  0.49826005],[-0.11266101 -0.31372291  0.37096973  0.54367006],[-0.11168824 -0.3127505   0.3718307   0.54398136],[-6.59871881e-04 -1.55987293e-03 -1.13770246e-03 -7.49269317e-01],1727361487.505931,[-10.52952644   1.36496813 -11.56862414 -52.25386984]
[-0.12974803 -0.31133825  0.2909073   0.5017998 ],[-0.1129228  -0.31363556  0.37105694  0.53232545],[-0.11154153 -0.31282849  0.37189893  0.54398136],[ 0.00293426 -0.00155984  0.00136459  0.        ],1727361487.5074105,[ 46.60203084  -2.3296285   19.11125671 -53.98057815]
[-0.11938464 -0.3142809   0.3133237   0.48695427],[-0.1130973  -0.31363562  0.37123151  0.51836279],[-0.11495816 -0.31270427  0.37184543  0.54398136],[-0.06833261  0.00248451 -0.00106991  0.        ],1727361487.5090826,[  3.82752951   2.52081131  12.64828051 -82.40161741]
[-0.1026676  -0.3115818   0.38016483  0.45953804],[-0.1132718  -0.31363568  0.37140608  0.50440013],[-0.11499144 -0.31278227  0.37178774  0.51836244],[-0.00066563 -0.00156011 -0.0011539  -0.51237837],1727361487.5106773,[-32.34973476  -1.98273294  -2.51730346 -78.51091481]
[-0.11283926 -0.3099518   0.35518456  0.44950366],[-0.11353366 -0.31363562  0.37131873  0.48869218],[-0.11471241 -0.31265806  0.37185709  0.49781878],[ 0.00558063  0.00248431  0.00138717 -0.41087319],1727361487.5121572,[  0.19851052  -3.78813732   3.92045571 -58.73152922]
[-0.11954802 -0.31404516  0.29744828  0.4431197 ],[-0.11379552 -0.31363556  0.37123138  0.47298422],[-0.11474588 -0.3125338   0.37179867  0.49781878],[-0.00066941  0.00248519 -0.00116849  0.        ],1727361487.513672,[ 12.6638691    2.59962881  16.93848    -75.26711232]
[-0.10987811 -0.3093037   0.31660748  0.4142869 ],[-0.11405731 -0.31372291  0.37105694  0.45465827],[-0.11477705 -0.3126118   0.37174287  0.48404352],[-0.00062349 -0.00156009 -0.00111591 -0.27550518],1727361487.5152152,[-14.0571412   -5.05759415  11.93610147 -99.30635649]
[-0.10456482 -0.31355092  0.42514312  0.38390896],[-0.11431909 -0.31381026  0.37088251  0.43633232],[-0.1146408  -0.31248749  0.37168504  0.43404352],[ 0.00272496  0.00248611 -0.00115677 -1.        ],1727361487.516668,[-23.09649321   2.03040267 -12.85540574 -56.75902567]
